violation_id,category,dependency_changeset,dependent_changeset,dependency_package,dependent_package,evidence,resolution,status
EXT-001,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-timezone-period-model,,E1,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-002,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-unified-kpi-contract,,E1,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-003,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-money-domain,,E2,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-004,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-money-migration,,E2,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-005,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-receivables,,E2,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-006,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-revenue-cashflow-result,,E2,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-007,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-multi-currency,,E2,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-008,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-finance-test-suite,,E2,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-009,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-summary-detail-separation,,E3,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-010,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-grouping-entity-references,,E1,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-011,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-analytics-summary,,E3,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-012,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-filter-architecture,,E3,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-013,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-tenant-isolation,,E4,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-014,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-tenant-isolation,,E4,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-015,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-roles-access-api-and-domain-contracts,cs-evaluations-tenant-isolation,,E4,"The historical changeset contains booking handover files; current main already provides OrgScopingGuard, PermissionsGuard, RequirePermission and versioned organization-role defaults.",USE_CURRENT_MAIN_CENTRAL_RBAC,REPAIRED
EXT-016,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-analytics-contracts,,E1,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-017,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-cost-model,,E3,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-018,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-utilization,,E3,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
