pr_number,title,draft,base_branch,head_branch,base_sha,head_sha,merge_base_main,commit_count,changed_files_count,module,target_is_main,head_branch_exists,all_commits_in_main,patch_equivalent_in_main,diff_against_main,stack_parent_pr,stack_tip_pr,merge_conflict_status,ci_status,preliminary_classification,confidence,evidence,recommended_next_review
19,fix(deploy): DIMO Agents DNS resolvers + deployment runbook,true,main,cursor/dimo-agents-dns-docker-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,9abf28509c616802e40805e66ca0407330fc5a92,c740f9c7458908dc8e6cd768d5155339d26845f2,1,7,connectivity,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (7 paths) | GitHub target diff: 7 files, +249/-1 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 4 paths overlap 543 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
20,fix(chat): operator-friendly DIMO agent error messages in AI Assistant,true,main,cursor/ai-assistant-error-messages-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,f99b256d74134cb16c7b79c180d370ac281d8f22,c740f9c7458908dc8e6cd768d5155339d26845f2,1,9,connectivity,true,true,false,false,NON_EMPTY,,21,CONFLICTING,NO_CHECKS_REPORTED,STACK_ANCESTOR,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (9 paths) | GitHub target diff: 9 files, +171/-49 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 0 open ancestors, 1 open descendants; base=main | file overlap: 9 paths overlap 561 open PRs | last update is 33 whole days before snapshot","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
21,fix(dashboard): cleaner module headers and full station filter label,true,main,cursor/dashboard-ui-cleanup-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,b34a2cf17e0dfe2c9e65940df23b5092d32c8c5f,c740f9c7458908dc8e6cd768d5155339d26845f2,2,15,cross-cutting,true,true,false,false,NON_EMPTY,20,21,CONFLICTING,NO_CHECKS_REPORTED,CUMULATIVE_STACK_TIP,HIGH,"commit reachability: 0/2 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=2, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (15 paths) | GitHub target diff: 15 files, +211/-101 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 1 open ancestors, 0 open descendants; base=main | file overlap: 12 paths overlap 564 open PRs | last update is 33 whole days before snapshot","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
22,fix(insights): org-scoped invoices API wiring for Financial Insights,true,main,cursor/financial-insights-api-wiring-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,46225c4812a9808e36a8782e64f4ad2ac2ea9969,c740f9c7458908dc8e6cd768d5155339d26845f2,1,3,unknown,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (3 paths) | GitHub target diff: 3 files, +69/-79 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 3 paths overlap 561 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
23,fix(insights): unify InsightsCockpit wiring on financial-insights page,true,main,cursor/insights-cockpit-wiring-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,f8c763b8415279ca38d79aa4c60a4c62708b9a7f,c740f9c7458908dc8e6cd768d5155339d26845f2,2,2,unknown,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/2 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=2, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (2 paths) | GitHub target diff: 2 files, +41/-15 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 2 paths overlap 542 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
24,"fix(insights): correct categorization, cent/euro handling, station filter",true,main,cursor/insights-categorization-filter-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,cf691f4caf872e67378dc55fd3374c2a12a09fef,c740f9c7458908dc8e6cd768d5155339d26845f2,2,4,unknown,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/2 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=2, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (4 paths) | GitHub target diff: 4 files, +307/-27 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 3 paths overlap 542 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
25,fix(dashboard): remove dead Financial tab from ActionQueue filters,true,main,cursor/actionqueue-finance-tab-cleanup-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,a4cca5b65104f91e65de4fa3fd2f7ff2e4d39cda,c740f9c7458908dc8e6cd768d5155339d26845f2,2,7,unknown,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/2 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=2, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (7 paths) | GitHub target diff: 7 files, +72/-27 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 5 paths overlap 548 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
31,V4.9.150 — Energy events: station name instead of coordinates in trip timeline,true,main,cursor/energy-event-location-display-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,a0a290336e17000b3cf6933247850e7ce4a39267,9aac62e7d4b7b6fbe65ca2284919ca659f9eb571,1,13,trips,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (13 paths) | GitHub target diff: 13 files, +615/-11 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 5 paths overlap 578 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
35,feat(auth): Backend TOTP 2FA MVP with login MFA challenge,true,main,cursor/totp-2fa-backend-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,426f894d8b3618d017afde092d7cb4ff2c5230be,8c05581fea4009de4f3cf3b46996850ffd47cf49,1,27,roles-access,true,true,false,false,NON_EMPTY,,36,CONFLICTING,NO_CHECKS_REPORTED,STACK_ANCESTOR,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (27 paths) | GitHub target diff: 27 files, +2502/-943 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 0 open ancestors, 1 open descendants; base=main | file overlap: 27 paths overlap 575 open PRs | last update is 33 whole days before snapshot","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
36,"feat(frontend): TOTP 2FA setup, management, and login challenge",true,main,cursor/totp-2fa-frontend-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,4c4c8c3f8dd77099b5aa0c7be24fb5b5166c8932,8c05581fea4009de4f3cf3b46996850ffd47cf49,2,40,roles-access,true,true,false,false,NON_EMPTY,35,36,CONFLICTING,NO_CHECKS_REPORTED,CUMULATIVE_STACK_TIP,HIGH,"commit reachability: 0/2 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=2, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (40 paths) | GitHub target diff: 40 files, +3987/-1119 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 1 open ancestors, 0 open descendants; base=main | file overlap: 30 paths overlap 575 open PRs | last update is 33 whole days before snapshot","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
