changeset_id,capability,status,source_prs,source_commits,already_in_main,needs_port,needs_reimplementation,dependencies,architecture_decisions,package_id,risk,migration,backend,frontend,worker,security,privacy,integration_method,tests,staging,vps,rollback,confidence
cs-evaluations-metric-registry-baseline,Metric Registry,ALREADY_IN_MAIN,752,850b20bc632e514acba32e05e38b92c864840779,true,false,false,,EVAL-ADR-003,E1,LOW,false,true,true,false,false,false,ALREADY_IN_MAIN_NO_ACTION,preserve current evaluations registry/provenance tests,Not separately required; regression gate in E1,Not separately required,No action; baseline is already in main.,HIGH
cs-evaluations-calculation-versioning-baseline,Calculation Versioning,ALREADY_IN_MAIN,752,312ee93f5315af7c8a4474a5014976a68584a7c6,true,false,false,,EVAL-ADR-003,E1,LOW,true,true,false,false,false,false,ALREADY_IN_MAIN_NO_ACTION,preserve current evaluations registry/provenance tests,Not separately required; regression gate in E1,Not separately required,No action; baseline is already in main.,HIGH
cs-evaluations-timezone-period-model,Timezone / Period Model,REQUIRED_BUT_NEEDS_PORT,754,f23e6bdab173c9e4705f56316737a2497d147ae1,false,true,true,cs-observability-api-and-domain-contracts,EVAL-ADR-002,E1,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-unified-kpi-contract,Unified KPI Contract,REQUIRED_BUT_NEEDS_PORT,755,59cbd9f1f8f2e5f55601b5f2385f9fc5701c49b2,false,true,true,cs-evaluations-timezone-period-model;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E1,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-money-domain,Money Domain,REQUIRED_BUT_NEEDS_PORT,756,077ba5060251eaa4fae983249822be68b6b00293,false,true,true,cs-evaluations-unified-kpi-contract;cs-observability-api-and-domain-contracts,EVAL-ADR-001,E2,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-money-migration,Money Migration,REQUIRED_BUT_NEEDS_PORT,756,de17de779d1c3a5de9358268ecbc50da98270849,false,true,true,cs-evaluations-money-domain;cs-observability-api-and-domain-contracts,EVAL-ADR-001,E2,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-receivables,Receivables,REQUIRED_BUT_NEEDS_PORT,757,d966961c2dc9d6690f5ea21d32d8360b77c0ab1c,false,true,true,cs-evaluations-money-migration;cs-observability-api-and-domain-contracts,EVAL-ADR-001,E2,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-revenue-cashflow-result,Revenue / Cashflow / Result,REQUIRED_BUT_NEEDS_PORT,760,e340795d2f22198c867401becfa99217c321c0f5,false,true,true,cs-evaluations-receivables;cs-observability-api-and-domain-contracts,EVAL-ADR-001,E2,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-multi-currency,Multi-Currency,REQUIRED_BUT_NEEDS_PORT,762,efb3abc5feda78818a04849b19d24226c8396282,false,true,true,cs-evaluations-revenue-cashflow-result;cs-observability-api-and-domain-contracts,EVAL-ADR-001,E2,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-finance-test-suite,Finance Test Suite,REQUIRED_BUT_NEEDS_PORT,765,7ab6d01dac0cf6a979c321327b03289ed31afe92,false,true,true,cs-evaluations-multi-currency;cs-observability-api-and-domain-contracts,EVAL-ADR-001,E2,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-summary-detail-separation,Summary / Detail Separation,REQUIRED_BUT_NEEDS_PORT,767,515cd44e5b4beac30ffe8b9d63f3d941a9fb578b,false,true,true,cs-observability-api-and-domain-contracts,EVAL-ADR-003,E3,CRITICAL,true,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-grouping-entity-references,Grouping / Entity References,REQUIRED_BUT_NEEDS_PORT,770,da79b28aa4ad0d84202d332c1f20e10cad8f06dd,false,true,true,cs-evaluations-summary-detail-separation;cs-observability-api-and-domain-contracts,EVAL-ADR-004,E1,CRITICAL,true,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-analytics-summary,Analytics Summary,REQUIRED_BUT_NEEDS_PORT,773,e65b88dbefb34b99d6c9520a6d785f571a8f33e6,false,true,false,cs-evaluations-grouping-entity-references;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E3,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-filter-architecture,Filter Architecture,REQUIRED_BUT_NEEDS_PORT,774,642a210403b63cb719af7566f2019c76044933aa,false,true,false,cs-evaluations-analytics-summary;cs-observability-api-and-domain-contracts,EVAL-ADR-002,E3,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-tenant-isolation,Tenant Isolation,REQUIRED_BUT_NEEDS_PORT,776,1724bd92bf8e4dfab742767ded38fbc18dabb19e,false,true,true,cs-evaluations-filter-architecture;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts;cs-roles-access-api-and-domain-contracts,EVAL-ADR-007,E4,HIGH,false,true,true,true,true,false,REIMPLEMENT_ON_CURRENT_MAIN,backend evaluations contract/domain/integration tests;cross-tenant negative and RBAC tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-analytics-contracts,Analytics Contracts,REQUIRED_BUT_NEEDS_PORT,778,26e4532201c94ddf0f72d17c324b42add7dec9cc,false,true,false,cs-evaluations-tenant-isolation;cs-observability-api-and-domain-contracts,EVAL-ADR-004;EVAL-ADR-007,E1,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-cost-model,Cost Model,REQUIRED_BUT_NEEDS_PORT,780,d96ba7a8c6379e533ca17f2f3c77b46bbeb6ee43,false,true,true,cs-evaluations-analytics-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E3,HIGH,false,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,"backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression;money precision, period, currency, receivable and financial reconciliation fixtures",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-utilization,Utilization,REQUIRED_BUT_NEEDS_PORT,782,46f533afc431d9c68a4486133313e4f5d7888de0,false,true,false,cs-evaluations-cost-model;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E3,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-strength-detection,Strength Detection,REQUIRED_BUT_NEEDS_PORT,783,f5cfe0c5cda1bef260dca6a0417977701530210e,false,true,false,cs-evaluations-utilization;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E3,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-weakness-detection,Weakness Detection,REQUIRED_BUT_NEEDS_PORT,784,32714750f7f197c5a8e4b9bb304011ca2444a05d,false,true,false,cs-evaluations-utilization;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E3,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-driver-influence-analysis,Driver / Influence Analysis,REQUIRED_BUT_NEEDS_PORT,786,56b9efe22b059cedf5aff64188922aef6e10ba37,false,true,false,cs-evaluations-strength-detection;cs-evaluations-weakness-detection;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E3,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
