flow,frontendComponent,endpoint,requiredPermission,mutatesGlobalPasswordHash,adminSeesPlaintext,passwordPolicy,passwordHistory,sessionsRevoked,userNotified,mustChangePasswordEffect,multiOrgSafe,mfaOrAssurance,preliminaryRisk,findingId
self_password_change,ChangePasswordDialog via AccountInformationTab/useAccountCenter,POST /account/me/change-password,authenticated self (org context load),YES User.passwordHash,no (current+new entered by user),min 10 chars (account.service assertPasswordPolicy) — WEAKER than org admin min 12,NONE,optional revokeOtherSessions (FE default true → other sessions),no email,clears mustChangePassword=false,NO — changes shared credential for all orgs,no step-up no recent-auth timestamp,P1 — policy mismatch 10 vs 12; no notification,UR-P2-PW-01
forgot_password,LoginPage button only shows support message — no form,NONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,P1 — no self-service recovery,UR-P2-PW-02
password_reset_link,none,none — no PasswordResetToken model/routes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,P1 — missing standard recovery,UR-P2-PW-03
admin_org_password_reset,UsersTab password modal (newPassword state min 12 client),POST /organizations/:orgId/users/:userId/change-password,users-roles.manage (or self),YES global User.passwordHash,YES — admin types/copies plaintext in modal,min 12 (MIN_USER_PASSWORD_LENGTH) length only — no complexity/breach check,NONE,NONE,NONE,sets mustChangePassword=true if !self BUT LoginPage/API do not enforce,NO — resets credential for Org B as well,none,P0 — H1 H2 multi-org unsafe,UR-P2-PW-04
admin_master_password_reset,PlatformUsersView,POST /admin/users/:id/change-password,MASTER_ADMIN RolesGuard,YES global,YES plaintext in UI,min 12 length only,NONE,NONE,NONE,sets mustChangePassword=true — unenforced,NO,none,P0 — no audit on this path,UR-P2-PW-05
temporary_password_on_create,CreateUserWizard password path + clipboard.writeText(form.password),POST /organizations/:orgId/users (createOrgUser with password),users-roles.write (+ manage for sensitive),YES on create/reactivate,YES admin-generated password copied to clipboard,min 12,NONE,n/a new user,invite mail fallback unrelated; no force-send,mustChangePassword true when password set by admin path,NO if existing global user password overwritten on reactivate paths,none,P0 — clipboard secret + global hash,UR-P2-PW-06
global_credential_management,shared User.passwordHash only — no per-org credentials,N/A model,N/A,always global,N/A,split policies 10 vs 12,NONE,incomplete,NONE,flag only,FAIL,no AAL,P0 — architecture not multi-tenant for secrets,UR-P2-PW-07
mfa_totp,AccountSessionsSection placeholder UI,none,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NOT IMPLEMENTED — twoFactorAvailable=false,P1 H9,UR-P2-MFA-01
mfa_webauthn_passkeys,AccountSessionsSection passkeysAvailable UI,none,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NOT IMPLEMENTED — passkeysAvailable=false,P1 H9,UR-P2-MFA-02
mfa_recovery_codes,none,none,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,P1,UR-P2-MFA-03
mfa_challenge_enrollment,none,none,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,P1,UR-P2-MFA-04
step_up_auth,none,none,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,High-risk actions (password reset role manage seed-admin) have NO recent-auth/step-up requirement,P0 for admin flows,UR-P2-MFA-05
assurance_in_tokens,n/a,JWT claims: sub email name platformRole membershipRole organizationId organizationName — no amr/aal/mfa/auth_time,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,AAL always effectively password-only,P1,UR-P2-MFA-06
security_activity_mfa_fields,UserDetailDrawer shows Nicht verfügbar,GET .../users/:userId/security-activity,users-roles.read,n/a,n/a,n/a,n/a,activeSessionCount returned null (not computed from refresh_tokens),n/a,n/a,n/a,twoFactorEnabled null placeholder,P1 — UI implies future MFA; sessions not counted,UR-P2-MFA-07
admin_view_foreign_sessions,no org-admin session viewer — only self AccountSessionsSection,GET /account/me/sessions self only,self,n/a,n/a,n/a,n/a,self can revoke own/other own sessions; admins cannot list/revoke target user sessions via IAM UI,n/a,n/a,n/a,n/a,P1 — cannot remotely kill compromised user sessions from Users & Roles,UR-P2-MFA-08
cookie_csrf_flags,Bearer in localStorage — no auth cookies,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No HttpOnly/Secure/SameSite auth cookies; no CSRF token layer for Bearer; XSS steals access token,P1,UR-P2-TOK-01
token_ttls,n/a,access JWT_EXPIRES_IN prod=24h; refresh 30d code constant; rotation on /auth/refresh; family reuse detection,n/a,n/a,n/a,n/a,rotation yes; revoke helpers exist,n/a,n/a,n/a,n/a,Long access TTL magnifies invalidation gaps,P0 with H2,UR-P2-TOK-02
role_permission_version,none in schema or JWT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No version stamp — cannot invalidate by version,P0 H3 H10,UR-P2-TOK-03
ip_ua_storage,"RefreshToken.ipAddress userAgent; User.lastLoginIp lastLoginDevice (UA truncated 500). Stored in Postgres; returned to self in account sessions (PII).",auth login + refresh create; account listSessions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,P2 — retention of IP/UA without IAM anonymization policy,UR-P2-TOK-04
session_fixation,login always issues new refresh family; access is new JWT. No cookie session id to fixate. Residual: stolen refresh reuse triggers family revoke.,issueTokenPair new family,n/a,n/a,n/a,n/a,family revoke on reuse,n/a,n/a,n/a,n/a,P2 for classic fixation; P0 if refresh stolen before reuse detect,UR-P2-TOK-05
