dependency_changeset,dependent_changeset,dependency_type,dependency_package,dependent_package,cross_module,evidence,valid_order,resolution
cs-observability-api-and-domain-contracts,cs-evaluations-timezone-period-model,OBSERVABILITY_ONLY,,E1,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-timezone-period-model,cs-evaluations-unified-kpi-contract,HARD_CONTRACT,E1,E1,false,EVAL-ADR-002 makes timezone/period provenance part of every KPI contract.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-unified-kpi-contract,OBSERVABILITY_ONLY,,E1,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-unified-kpi-contract,cs-evaluations-money-domain,HARD_CONTRACT,E1,E3,false,Money values implement the canonical KPI value envelope.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-money-domain,OBSERVABILITY_ONLY,,E3,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-money-domain,cs-evaluations-money-migration,HARD_MIGRATION,E3,E3,false,Backfill schema and conversion semantics must follow the final Money contract.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-money-migration,OBSERVABILITY_ONLY,,E3,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-money-migration,cs-evaluations-receivables,HISTORICAL_STACK_INHERITANCE,E3,E3,false,"First-parent chronology created this edge, but normalized source imports and ADR ownership do not require it.",REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-observability-api-and-domain-contracts,cs-evaluations-receivables,OBSERVABILITY_ONLY,,E3,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-receivables,cs-evaluations-revenue-cashflow-result,HARD_CONTRACT,E3,E3,false,Cashflow/result semantics consume canonical receivable state.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
