anonymizedVehicleId,provider,powertrain,signalName,documentedInDimoSchema,listedInAvailableSignals,latestValueAvailable,latestValue,historicalValuesAvailable,dataSummaryCount,classification,synqDrivePersistsSignal,synqDriveUsesSignal,recommendation
VEHICLE_001,dimo,GASOLINE,powertrainTransmissionTravelledDistance,true,true,true,345,true,4256,SPORADIC,true,true,LATER
VEHICLE_001,dimo,GASOLINE,isIgnitionOn,true,true,true,0,false,4391,AVAILABLE_BUT_NO_HISTORICAL_VALUES,true,false,LATER
VEHICLE_001,dimo,GASOLINE,speed,true,true,true,0,true,4385,SPORADIC,true,true,LATER
VEHICLE_001,dimo,GASOLINE,angularVelocityYaw,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_001,dimo,GASOLINE,exteriorAirTemperature,true,true,true,31,true,4047,SPORADIC,false,true,LATER
VEHICLE_001,dimo,GASOLINE,obdBarometricPressure,true,true,true,99,false,4391,AVAILABLE_BUT_NO_HISTORICAL_VALUES,false,false,LATER
VEHICLE_001,dimo,GASOLINE,obdDTCList,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_001,dimo,GASOLINE,chassisAxleRow1WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_001,dimo,GASOLINE,chassisAxleRow1WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_001,dimo,GASOLINE,chassisAxleRow2WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_001,dimo,GASOLINE,chassisAxleRow2WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_001,dimo,GASOLINE,chassisTireSystemIsWarningOn,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_001,dimo,GASOLINE,chassisAxleRow1WheelLeftSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_001,dimo,GASOLINE,chassisAxleRow1WheelRightSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_002,dimo,ELECTRIC,powertrainTransmissionTravelledDistance,true,true,true,179360.21251915256,true,31638,USABLE,true,true,MVP
VEHICLE_002,dimo,ELECTRIC,isIgnitionOn,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,false,DO_NOT_USE
VEHICLE_002,dimo,ELECTRIC,speed,true,true,true,0,true,342202,USABLE,true,true,MVP
VEHICLE_002,dimo,ELECTRIC,angularVelocityYaw,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_002,dimo,ELECTRIC,exteriorAirTemperature,true,true,true,30,true,23665,USABLE,false,true,MVP
VEHICLE_002,dimo,ELECTRIC,obdBarometricPressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_002,dimo,ELECTRIC,obdDTCList,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_002,dimo,ELECTRIC,chassisAxleRow1WheelLeftTirePressure,true,true,true,293.84250437859447,true,2952,SPORADIC,true,true,LATER
VEHICLE_002,dimo,ELECTRIC,chassisAxleRow1WheelRightTirePressure,true,true,true,301.44187949183396,true,2990,SPORADIC,true,true,LATER
VEHICLE_002,dimo,ELECTRIC,chassisAxleRow2WheelLeftTirePressure,true,true,true,273.57750407662246,true,3038,SPORADIC,true,true,LATER
VEHICLE_002,dimo,ELECTRIC,chassisAxleRow2WheelRightTirePressure,true,true,true,288.77625430310144,true,2838,SPORADIC,true,true,LATER
VEHICLE_002,dimo,ELECTRIC,chassisTireSystemIsWarningOn,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_002,dimo,ELECTRIC,chassisAxleRow1WheelLeftSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_002,dimo,ELECTRIC,chassisAxleRow1WheelRightSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,powertrainTransmissionTravelledDistance,true,true,true,113624,true,91189,SPORADIC,true,true,LATER
VEHICLE_003,dimo,GASOLINE,isIgnitionOn,true,true,true,0,false,96936,AVAILABLE_BUT_NO_HISTORICAL_VALUES,true,false,LATER
VEHICLE_003,dimo,GASOLINE,speed,true,true,true,0,true,96914,SPORADIC,true,true,LATER
VEHICLE_003,dimo,GASOLINE,angularVelocityYaw,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,exteriorAirTemperature,true,true,true,34,true,89298,SPORADIC,false,true,LATER
VEHICLE_003,dimo,GASOLINE,obdBarometricPressure,true,true,true,99,false,12533,AVAILABLE_BUT_NO_HISTORICAL_VALUES,false,false,LATER
VEHICLE_003,dimo,GASOLINE,obdDTCList,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,chassisAxleRow1WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,chassisAxleRow1WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,chassisAxleRow2WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,chassisAxleRow2WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,chassisTireSystemIsWarningOn,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,chassisAxleRow1WheelLeftSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_003,dimo,GASOLINE,chassisAxleRow1WheelRightSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,powertrainTransmissionTravelledDistance,true,true,true,187350,true,34317,SPORADIC,true,true,LATER
VEHICLE_004,dimo,GASOLINE,isIgnitionOn,true,true,true,0,false,44057,AVAILABLE_BUT_NO_HISTORICAL_VALUES,true,false,LATER
VEHICLE_004,dimo,GASOLINE,speed,true,true,true,0,true,44041,SPORADIC,true,true,LATER
VEHICLE_004,dimo,GASOLINE,angularVelocityYaw,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,exteriorAirTemperature,true,true,true,29,true,31934,SPORADIC,false,true,LATER
VEHICLE_004,dimo,GASOLINE,obdBarometricPressure,true,true,true,0,false,8101,AVAILABLE_BUT_NO_HISTORICAL_VALUES,false,false,LATER
VEHICLE_004,dimo,GASOLINE,obdDTCList,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,chassisAxleRow1WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,chassisAxleRow1WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,chassisAxleRow2WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,chassisAxleRow2WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,chassisTireSystemIsWarningOn,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,chassisAxleRow1WheelLeftSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_004,dimo,GASOLINE,chassisAxleRow1WheelRightSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_005,dimo,GASOLINE,powertrainTransmissionTravelledDistance,true,true,true,190003,true,65336,USABLE,true,true,MVP
VEHICLE_005,dimo,GASOLINE,isIgnitionOn,true,true,true,0,false,73634,AVAILABLE_BUT_NO_HISTORICAL_VALUES,true,false,LATER
VEHICLE_005,dimo,GASOLINE,speed,true,true,true,0,true,73599,SPORADIC,true,true,LATER
VEHICLE_005,dimo,GASOLINE,angularVelocityYaw,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_005,dimo,GASOLINE,exteriorAirTemperature,true,true,true,31,true,64322,USABLE,false,true,MVP
VEHICLE_005,dimo,GASOLINE,obdBarometricPressure,true,true,true,99,false,12918,AVAILABLE_BUT_NO_HISTORICAL_VALUES,false,false,LATER
VEHICLE_005,dimo,GASOLINE,obdDTCList,true,true,true,["P0675"],false,252,AVAILABLE_BUT_NO_HISTORICAL_VALUES,false,false,LATER
VEHICLE_005,dimo,GASOLINE,chassisAxleRow1WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_005,dimo,GASOLINE,chassisAxleRow1WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_005,dimo,GASOLINE,chassisAxleRow2WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_005,dimo,GASOLINE,chassisAxleRow2WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_005,dimo,GASOLINE,chassisTireSystemIsWarningOn,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_005,dimo,GASOLINE,chassisAxleRow1WheelLeftSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_005,dimo,GASOLINE,chassisAxleRow1WheelRightSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,powertrainTransmissionTravelledDistance,true,true,true,5209,true,9852,SPORADIC,true,true,LATER
VEHICLE_006,dimo,GASOLINE,isIgnitionOn,true,true,true,1,false,11624,AVAILABLE_BUT_NO_HISTORICAL_VALUES,true,false,LATER
VEHICLE_006,dimo,GASOLINE,speed,true,true,true,11,true,11618,SPORADIC,true,true,LATER
