layer,component,input,output,liveOrSnapshot,consumers,divergesFromCanonical,notes,preliminaryRisk,findingId
global_platform,User.platformRole,JWT/DB,MASTER_ADMIN|USER,JWT snapshot for RolesGuard; DB not rechecked by AuthGuard,RolesGuard OrgScoping bypass PermissionsGuard bypass,yes if platformRole changed mid-session,MASTER_ADMIN short-circuits org checks,P1,UR-P3-EA-01
coarse_membership_role,OrganizationMembership.role,DB ACTIVE membership,ORG_ADMIN|SUB_ADMIN|WORKER|DRIVER,live in PermissionsGuard/StationAccess; JWT membershipRole snapshot in RolesGuard,PermissionsGuard ORG_ADMIN bypass; RolesGuard @Roles; StationAccess ORG_ADMIN bypass,yes JWT vs DB,ORG_ADMIN ignores permissions JSON,P0,UR-P3-EA-02
role_template,OrganizationRole,template id at assign/invite time,defaults copied once,not live for authz,assignRoleToUser createOrgUser createInvite,yes after template edit,NOT part of runtime effective formula today,P0,UR-P3-EA-03
membership_permissions,OrganizationMembership.permissions JSON,DB,module→{read write manage},live per PermissionsGuard/assertMembershipPermission,PermissionsGuard; service asserts; login response snapshot for FE,yes FE login snapshot stale,SoT for non-ORG_ADMIN module authz,P0 FE drift,UR-P3-EA-04
direct_overrides,same JSON field (no separate override store),admin PATCH permissions,mutated membership.permissions,live BE / stale FE,updateOrgUser,cannot tell override vs inherited,implicit snapshot model,P1,UR-P3-EA-05
station_scope,membership.stationScope + stationIds + role,DB + feature flag,StationAccessContext,live when stationsScopeV2Enabled else bypass,StationAccessService StationScopeGuard stations consumers,yes vs module permissions,parallel authorization axis,P1,UR-P3-EA-06
field_agent_access,membership.fieldAgentAccess,DB boolean,flag for field workflows,not centrally evaluated in PermissionsGuard,copied from role default; used by product features,unclear central enforcement,not in module permission matrix,P2,UR-P3-EA-07
admin_bypass,ORG_ADMIN or MASTER_ADMIN,role checks,allow all modules / all orgs,live DB role for PermissionsGuard,PermissionsGuard assertMembershipPermission FE hasPermission,custom role with full manage≠ORG_ADMIN bypass unless membershipRole set,bypass is role-enum based not effective-permission based,P0 for last-admin,UR-P3-EA-08
resource_ownership,VehicleOwnershipGuard etc,vehicleId+org,allow/deny,live where applied,vehicle-intelligence document-extraction subset,many resources lack ownership guards,not universal,P1,UR-P3-EA-09
frontend_visibility,RentalContext.hasPermission,login userPermissions + userRole,boolean UI gate,snapshot until re-login,sidebar/actions users-roles UI,YES vs BE live DB,ORG_ADMIN hard true,P0,UR-P3-EA-10
central_function_exists,evaluateModulePermission + PermissionsGuard + assertMembershipPermission + StationAccessService.resolve + FE hasPermission,multiple,boolean/context,mixed,see consumers,YES — no single effectiveAccess() API,canonical read-model defined in audit only (not implemented),P0,UR-P3-EA-11
canonical_effectiveRole,AUDIT READ-MODEL (not implemented),membership.role + organizationRoleId,effectiveRole + roleSource(template|direct|legacy),proposed,future API,n/a,roleSource=template if organizationRoleId set else direct,info,UR-P3-EA-12
canonical_roleVersion,AUDIT READ-MODEL (not implemented),n/a today,roleVersion null,proposed,token invalidation,n/a,must be added to OrganizationRole + membership copy stamp,info,UR-P3-EA-13
canonical_effectivePermissions,AUDIT READ-MODEL,normalize(membership.permissions) unless ORG_ADMIN→all modules manage,map,proposed,guards UI,n/a,inheritedPermissions=template at last assign; directOverrides=diff(membership template),info,UR-P3-EA-14
canonical_station,AUDIT READ-MODEL,StationAccessService.resolve,stationScope effectiveStationIds bypass,proposed,data queries,n/a,include feature-flag state in decisionReasons,info,UR-P3-EA-15
canonical_privileged,AUDIT READ-MODEL,derive from role==ORG_ADMIN OR permissions users-roles.manage OR billing.manage,privilegedCapabilities[],proposed,last-admin step-up,n/a,today last-admin ignores this,info,UR-P3-EA-16
canonical_decisionReasons,AUDIT READ-MODEL,structured reasons[],explain allow/deny,proposed,audit UX,n/a,e.g. bypass:ORG_ADMIN deny:missing.module.write,info,UR-P3-EA-17
actual_runtime_formula,CURRENT PRODUCTION FORMULA,"MASTER_ADMIN → allow; else require ACTIVE membership in org (+ JWT org match on org routes); if ORG_ADMIN → allow modules; else evaluateModulePermission(membership.permissions); station axis separate; FE uses login snapshot",effective access,live/snapshot mix,all HTTP,diverges across layers,No OrganizationRole in formula; no roleVersion; no session invalidation on change,P0,UR-P3-EA-18
