anonymizedVehicleId,surface,freshnessOrConnectionStatus,obdIsPluggedIn,openUnpluggedEpisode,deviceConnectionStatus,severity,matchesCanonicalTelemetry,inconsistentWithOtherSurfaces,inconsistencyType,details
VEHICLE_001,fleet_connectivity_api,standby,true,false,unknown,none,yes,false,none,fleet_24h_standby_vs_canonical_standby_aligned
VEHICLE_001,vehicle_detail,standby,true,false,unknown,none,yes,false,none,snapshot_obd_plugged_no_webhook_episode
VEHICLE_001,dashboard_fleet_board,standby,true,false,unknown,none,yes,false,none,uses_canonical_telemetry_freshness
VEHICLE_002,fleet_connectivity_api,standby,unknown,false,unknown,none,yes,false,obd_snapshot_null,obdIsPluggedIn_null_despite_live_telemetry
VEHICLE_002,vehicle_detail,standby,unknown,false,unknown,none,yes,true,obd_snapshot_null,ObdRowChip_may_show_no_data_while_online
VEHICLE_003,fleet_connectivity_api,online,true,false,unknown,none,yes,false,none,aligned
VEHICLE_004,fleet_connectivity_api,online,true,false,unknown,none,yes,false,none,aligned
VEHICLE_005,fleet_connectivity_api,online,true,true,unplugged,warning,no,true,device_episode_vs_telemetry,telemetry_live_and_obd_true_but_webhook_episode_open
VEHICLE_005,vehicle_detail,live,true,true,unplugged,warning,no,true,device_episode_vs_telemetry,VehicleDeviceConnectionCard_shows_geraet_getrennt
VEHICLE_005,dashboard_fleet_board,live,true,true,unplugged,warning,no,true,device_episode_vs_telemetry,KPI_deviceUnpluggedOpenEpisodes_includes_vehicle
VEHICLE_005,data_analyse,live,true,true,unplugged,warning,no,true,device_episode_vs_telemetry,openUnpluggedEpisode_ja_in_trip_context
VEHICLE_006,fleet_connectivity_api,online,true,false,unknown,none,yes,true,episode_window_expiry,db_episode_10d_old_outside_7d_query_window_api_hides_episode
VEHICLE_006,vehicle_detail,live,true,false,unknown,none,yes,true,episode_window_expiry,incident_may_no_longer_show_unplug_badge_depending_on_cache_and_window
VEHICLE_006,dashboard_fleet_board,live,true,false,unknown,none,yes,true,episode_window_expiry,stale_DB_episode_not_surfaced_but_not_resolved
VEHICLE_007,fleet_connectivity_api,not_connected,,false,unknown,none,yes,false,none,expected_not_linked
