domain,entityOrStep,file,classOrFunction,responsibility,input,output,writesData,scopeAware,perComponentIdentity,historicalTrace,idempotent,transactionBoundary,consumers,testCoverage,preliminaryRisk,phase2FindingId
schema,VehicleBrakeReferenceSpec,backend/prisma/schema.prisma,VehicleBrakeReferenceSpec,Static reference dimensions per vehicle not wear state,Registration manual API,Spec row,true,false,false,append-only versions via new rows,false,Prisma create,initializeFromService getDetail,none,Medium,P1-BH-04
schema,VehicleServiceEvent BRAKE_SERVICE,backend/prisma/schema.prisma,VehicleServiceEvent,Append-only brake service history with kind scope snapshot,recordService input,Event row,true,stores scope JSON,false,append-only events,true-append,Single create then separate update lifecycle flags,getDetail canonical,partial,Medium,P1-BH-15
schema,BrakeEvidence,backend/prisma/schema.prisma,BrakeEvidence,Append-only trusted signals per axle optional wheel,Evidence write input,Evidence row,true,false axle only,false,append-only no dedupe,false,create/createMany,buildCanonicalReadModel,partial,High,P0-BH-06
schema,BrakeTripMetric,backend/prisma/schema.prisma,BrakeTripMetric,Orphan per-trip brake metrics table,None,None,false,N/A,N/A,N/A,N/A,N/A,None,none,High,P0-BH-07
schema,BrakeHealthCurrent,backend/prisma/schema.prisma,BrakeHealthCurrent,Single mutable wear state 4 axle scalars per vehicle,Init recalc,Upsert row,true,false,false,no history overwrite,false,upsert/update,All consumers,partial,High,P0-BH-09
schema,TripDrivingImpact,backend/prisma/schema.prisma,TripDrivingImpact,Per-trip stress inputs for wear model,Trip finalize,Impact row,true,N/A,N/A,immutable per trip,true-upsert,Prisma upsert,recalculate,partial,Medium,P1-BH-16
schema,TripBehaviorEvent,backend/prisma/schema.prisma,TripBehaviorEvent,HF braking events source for DI metrics,Trip enrichment,Event rows,true,N/A,N/A,append,N/A,DI compute,driving-impact.service,partial,Low,
schema,DrivingEvent,backend/prisma/schema.prisma,DrivingEvent,Native DIMO harsh events not direct brake input,Ingestion,Event rows,true,N/A,N/A,append,N/A,DI enrichment,indirect,Low,
schema,VehicleDtcEvent,backend/prisma/schema.prisma,VehicleDtcEvent,Active DTC store with isActive clearedAt,Poll,Event rows,true,N/A,N/A,history with clear flag,N/A,dtc module,NOT wired to BrakeEvidence,none,High,P0-BH-06
lifecycle,recordService,backend/src/modules/vehicle-intelligence/brakes/brake-lifecycle.service.ts,BrakeLifecycleService.recordService,Canonical service mutation creates event calls init,evidence,Service result,true,stores scope does NOT pass to init,false,false-append,Event create then init then event update,API AI registration,Yes,High,P0-BH-10
