event,exists,producer,auditCodeOrAction,payloadActor,payloadSubject,payloadOrganization,timestamp,sourceIp,userAgent,reason,beforeAfter,transactionalWithMutation,retry,retention,accessControlOnRead,testCoverage,gap,severity,findingId
login_success,YES,auth.controller.ts login,ActivityAction.LOGIN / AUTH_EVENT,userId,userId,jwt org if any,createdAt,YES from request,YES,implicit success,no,NO void after login,NO,activityLogs default 0 days opt-in,org users-roles.read OR MASTER_ADMIN,no dedicated audit assert,Fire-and-forget; Phase4 iamAuditActionRows often unused for LOGIN,P1,UR-P6-AC-01
login_failed,YES,auth.controller.ts,AUTH_FAIL WARN,optional user,optional user,optional,createdAt,YES,YES,description reason,no,NO void,NO,same,same,partial,OK coverage; still non-transactional,P2,UR-P6-AC-02
logout,YES,auth.controller.ts logout/logout-all,LOGOUT / REVOKE_ALL,userId,userId,org,createdAt,YES,YES,no,no,NO void,NO,same,same,partial,OK,P2,UR-P6-AC-03
session_created,PARTIAL,RefreshTokenService.issueTokenPair + login audit only,no dedicated SESSION CREATE ActivityLog,user on token row,user,none on token,token.createdAt,stored on refresh_tokens,stored on refresh_tokens,n/a,n/a,token insert separate from audit,NO,refreshTokens 30d after expiry default,self session list; admin security-activity placeholders,weak,No ActivityLog entityId=session on create,P1,UR-P6-AC-04
session_revoked,YES,account.service revoke/revoke-others,REVOKE / REVOKE_ALL,actor,user/session,org,createdAt,YES,YES,no,no,NO void after revoke,NO,same,same,partial account specs,OK path exists,P2,UR-P6-AC-05
refresh_token_reuse,PARTIAL,refresh-token.service.ts warn+revokeFamily,Nest Logger.warn only — NO ActivityLog,n/a,userId in log string,n/a,n/a,no,no,reuse detected,n/a,NO,NO,n/a,n/a,none,Critical security event not in audit trail,P0,UR-P6-AC-06
password_changed_self,YES,account.service changePassword,ActivityAction.UPDATE AUTH_EVENT WARN,actor,actor,org,createdAt,YES,YES,no,no,NO void after hash update,NO,activityLogs opt-in,same,partial,Mutation commits if audit fails,P0,UR-P6-FF-01
password_reset_requested,NO,n/a — flow missing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No code/event,P1,UR-P6-AC-07
password_reset_completed,NO,n/a — flow missing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No code/event,P1,UR-P6-AC-07
admin_password_reset_org,YES,users.service changeOrgUserPassword,USER_PASSWORD_RESET_BY_ADMIN via userAudit,actor,targetUser,org,createdAt,often omitted by caller,often omitted,no,no,NO void after update,NO,activityLogs opt-in,users-roles.read can see,limited,Master path unaudited; no IP; fire-and-forget,P0,UR-P6-AC-08
admin_password_reset_master,NO_AUDIT,users.service changePasswordAdmin,none,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,Silent credential reset,P0,UR-P6-AC-08
mfa_enabled_disabled_reset,NO,MFA not implemented,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No events possible,P1,UR-P6-AC-09
invite_created_sent,YES,organization-invite.service createInvite,USER_INVITED,actor,inviteId,org,createdAt,usually omitted,omitted,no,after mapInvite; metadata email,NO void after create+mail,NO,no invite prune job; activityLogs opt-in,users-roles.read,invite specs assert audit called,Description may contain email; AuditService skips PII scrub,P0,UR-P6-AC-10
invite_rotated_resent,YES,resendInvite,USER_INVITE_RESENT (rotation not separate code),actor,inviteId,org,createdAt,omitted,omitted,no,no before/after token,NO void,NO,same,same,partial,OK rotation audited as RESENT,P1,UR-P6-AC-11
invite_revoked,YES,revokeInvite,USER_INVITE_REVOKED,actor,inviteId,org,createdAt,omitted,omitted,no,no,NO void; silent revoke audit=false on replace,NO,same,same,yes create/revoke specs,Silent revoke path weakens evidence,P1,UR-P6-AC-12
invite_accepted,YES,acceptInvite,USER_INVITE_ACCEPTED (+USER_CREATED/REACTIVATED),accepting user,invite/user,org,createdAt,omitted,omitted,no,no,Domain tx then void audit AFTER commit,NO,same,same,partial,Classic mutation-before-audit gap,P0,UR-P6-FF-01
user_created,YES,users.service / acceptInvite,USER_CREATED,sometimes missing actor on create,targetUser,org,createdAt,omitted,omitted,no,partial,void after,NO,same,same,limited,Actor gaps,P1,UR-P6-AC-13
user_updated,YES,updateOrgUser,USER_UPDATED,actor,target,org,createdAt,omitted,omitted,no,partial,void after tx,NO,same,same,limited,OK,P2,UR-P6-AC-14
