ruleId,dimension,fieldOrKpi,file,function,inputFields,timestampUsed,defaultWhenNull,fallback,priority,clamp,consumers,businessMeaning,preliminaryRisk
R-PL-01,provider_link,hasProviderLink,fleet-connectivity.util.ts,mapFleetConnectivityVehicle,dimoVehicle != null,N/A,false,none,1,none,Fleet Connectivity API,Vehicle has DIMO mirror row linked,P2 — ignores consent/revocation
R-PL-02,provider_link,connectionType,fleet-connectivity.util.ts,mapFleetConnectivityVehicle,dimoVehicle.rawJson.aftermarketDevice/syntheticDevice,N/A,Not Connected,Aftermarket>Synthetic>DIMO,2,none,Fleet UI,Human label for device class,P2
R-PL-03,provider_link,provider,fleet-connectivity.util.ts,mapFleetConnectivityVehicle,latestState.providerSource OR dimo link,none,Not linked,DIMO string,2,none,Fleet UI,Displayed data source name,P3
R-PL-04,provider_link,DimoVehicle.connectionStatus,prisma DimoVehicle,DB column,DIMO sync,last_signal/synced_at,PENDING,none,used only in reconcile anchor,3,none,device-connection-read-model,Platform link state not shown on Fleet tab,P1 — anchor vs UI split
R-PL-05,provider_link,VehicleProviderConsent,vehicle-provider-consent.service.ts,recordDimoConsent,registration event,grantedAt,not checked in fleet-connectivity,none,N/A,billing only,1,none,billable-vehicles,Consent ledger exists but not in connectivity KPIs,P1 — consent not part of connectivity truth
R-PL-06,provider_link,VehicleDataSourceLink,prisma,billing integration,HM/DIMO links,linkedAt,billing only,none,N/A,billing,2,none,billable-vehicles,Data source link separate from fleet view,P2
R-PL-07,provider_link,not_connected,fleet-connectivity.util.ts,deriveConnectionStatus,hasProviderLink=false,N/A,immediate return,overrides freshness,1,none,Fleet Connectivity,No provider mirror,P2
R-TF-01,telemetry_freshness,connectionStatus online,fleet-connectivity.util.ts,deriveConnectionStatus,lastSeenMs; now; hasProviderLink,lastSeenAt from VLS else dimo.lastSignal,offline if no ts,15m threshold,1,<0 → offline,Fleet Connectivity Tab,Signal within 15 minutes,P0 — no soft-offline (48h) tier
R-TF-02,telemetry_freshness,connectionStatus standby,fleet-connectivity.util.ts,deriveConnectionStatus,age 15m–24h,lastSeenAt,offline if null,24h cap,2,none,Fleet Connectivity,Normal parked telemetry,P1 — differs from canonical signal_delayed
R-TF-03,telemetry_freshness,connectionStatus offline,fleet-connectivity.util.ts,deriveConnectionStatus,age >=24h OR invalid ts,lastSeenAt,offline,>7d note text,3,none,Fleet Connectivity,No signal 24h+ (not 48h),P0 — offline at 24h not 48h
