timestamp,timestampType,source,event,deviceBinding,observedValue,synqDriveInterpretation,expectedInterpretation
2026-07-06T17:27:15Z,vehicle_created,postgresql,Vehicle registered LTE_R1 aftermarket DIMO link,LTE_R1_AFTERMARKET_EPISODE_001,provider=DIMO,Linked vehicle ready for poll/webhook,Linked vehicle ready for poll/webhook
2026-07-06T17:27:15Z,consent_granted,postgresql,VehicleProviderConsent ACTIVE DIMO_DIRECT,LTE_R1_AFTERMARKET_EPISODE_001,ACTIVE,Consent ledger entry; not used in Fleet Connectivity hasProviderLink,Consent active for provider access
2026-07-08T17:19:21Z,trip_end,postgresql,Trip ended before incident window,LTE_R1_AFTERMARKET_EPISODE_001,trip_end,Normal trip closure before unplug,Normal trip closure
2026-07-08T17:20:40Z,snapshot_provider_time,clickhouse_telemetry_snapshots,Last telemetry snapshot before unplug (provider recorded_at),LTE_R1_AFTERMARKET_EPISODE_001,speed=0 odometer=57,Telemetry flowing pre-unplug,Telemetry flowing pre-unplug
2026-07-08T17:21:11Z,snapshot_poll_started,postgresql_dimo_poll_logs,Last SUCCESS poll started before unplug,LTE_R1_AFTERMARKET_EPISODE_001,SUCCESS,dimo.snapshot.poll active,dimo.snapshot.poll active
2026-07-08T17:21:19Z,provider_observed_at,postgresql_dimo_device_connection_events,OBD_DEVICE_UNPLUGGED webhook signal timestamp,LTE_R1_AFTERMARKET_EPISODE_001,obdIsPluggedIn=0,Unplug tamper event at provider time,Unplug tamper event — start episode
2026-07-08T17:21:21Z,webhook_received_at,postgresql_dimo_device_connection_events,CloudEvents payload.time field,LTE_R1_AFTERMARKET_EPISODE_001,~+2.2s after signal,Webhook HTTP received by SynqDrive,Webhook received
2026-07-08T17:21:21Z,event_store_created_at,postgresql_dimo_device_connection_events,Row created_at,LTE_R1_AFTERMARKET_EPISODE_001,+2.571s after observedAt,Event persisted idempotently,Event persisted
2026-07-08T17:21:21Z,webhook_processed_at,read_model_intake,DeviceConnectionWebhookService ingest complete (inferred from created_at),LTE_R1_AFTERMARKET_EPISODE_001,outcome=created,openUnpluggedEpisode will become true on read,Episode open until recovery rule fires
2026-07-08T17:21:28Z,snapshot_provider_time,clickhouse_telemetry_snapshots,First telemetry snapshot after unplug (provider recorded_at),LTE_R1_AFTERMARKET_EPISODE_001,+9s after unplug,New snapshot with provider time after T0 — not delayed pre-unplug data,Real post-unplug telemetry — should contribute to recovery
2026-07-08T17:21:41Z,snapshot_received_at,postgresql_dimo_poll_logs,First SUCCESS poll started after unplug,LTE_R1_AFTERMARKET_EPISODE_001,+22s after unplug,poll ingested snapshot into VehicleLatestState path,Ingest after unplug confirmed
2026-07-08T17:21:42Z,snapshot_processed_at,postgresql_dimo_poll_logs,First SUCCESS poll finished after unplug,LTE_R1_AFTERMARKET_EPISODE_001,duration~346-635ms,VehicleLatestState upsert path ran,Snapshot processed
2026-07-08T17:22:17Z,snapshot_enrichment,postgresql_dimo_poll_logs,HF enrichment poll note,LTE_R1_AFTERMARKET_EPISODE_001,0 events stored,Downstream enrichment ran on live pipeline,Normal post-unplug processing
2026-07-08T17:39:00Z,trip_start,postgresql_vehicle_trips,First trip after unplug,LTE_R1_AFTERMARKET_EPISODE_001,trip_start +18min,Trips resumed — device operational,Trips resumed — supports recovery inference
2026-07-08T17:54:58Z,snapshot_provider_time,clickhouse_telemetry_snapshots,Last snapshot in first hour after unplug,LTE_R1_AFTERMARKET_EPISODE_001,276 snapshots in 1h,Sustained telemetry not backfill burst,Sustained live telemetry
2026-07-18T09:46:01Z,dimo_platform_signal,postgresql_dimo_vehicles,dimoVehicle.lastSignal,LTE_R1_AFTERMARKET_EPISODE_001,CONNECTED path,fresh platform sync,fresh platform sync
2026-07-18T09:46:12Z,dimo_synced_at,postgresql_dimo_vehicles,dimoVehicle.syncedAt,LTE_R1_AFTERMARKET_EPISODE_001,CONNECTED,Platform link healthy,Platform link healthy
2026-07-18T09:51:09Z,snapshot_signal_timestamp,postgresql_vehicle_latest_states,rawPayloadJson.obdIsPluggedIn.timestamp,LTE_R1_AFTERMARKET_EPISODE_001,obdIsPluggedIn=true,Snapshot shows physically plugged,PLUGGED_INFERRED — episode should close
2026-07-18T09:51:22Z,snapshot_provider_time,postgresql_vehicle_latest_states,VehicleLatestState.lastSeenAt / sourceTimestamp,LTE_R1_AFTERMARKET_EPISODE_001,fresh (<15m),connectionStatus=online on Fleet API,telemetryFreshness=live canonical
2026-07-18T09:51:29Z,snapshot_received_at,postgresql_vehicle_latest_states,providerFetchedAt,LTE_R1_AFTERMARKET_EPISODE_001,+7s ingest lag,Normal ingest lag not backfill,Normal ingest lag
2026-07-18T10:00:00Z,read_model_replay,pure_replay buildDeviceConnectionSummary,Current backend projection with anchor plugged+CONNECTED,LTE_R1_AFTERMARKET_EPISODE_001,openUnpluggedEpisode=true,Stuck unplug episode despite recovery signals,openUnpluggedEpisode=false deviceState=PLUGGED_INFERRED
