controlArea,question,answer,evidence,preliminaryRisk,findingId
last_admin_detect,Does protection detect MembershipRole only or effective admin rights?,MembershipRole.ORG_ADMIN ONLY — counts other ACTIVE memberships with role==ORG_ADMIN. Ignores custom roles with users-roles.manage or full permission matrices.,org-admin-protection.util.ts assertNotLastActiveOrgAdmin,P0,UR-P3-PA-01
custom_role_bypass,Can a custom role bypass last-admin protection?,YES — create custom role with membershipRole SUB_ADMIN/WORKER but permissions users-roles.manage (and others). Demoting/removing the sole ORG_ADMIN is blocked but an org can operate with zero ORG_ADMIN if all privileged users are custom-role managers — or conversely remove last ORG_ADMIN is blocked while custom admins remain invisible to the guard.,assertNotLastActiveOrgAdmin; PermissionsGuard ORG_ADMIN bypass vs manage path,P0,UR-P3-PA-02
suspend_last_admin,Suspend last active org admin?,Blocked when target membership.role==ORG_ADMIN and ACTIVE (via updateOrgUser status SUSPENDED → assertNotLastActiveOrgAdmin). Note suspend sets User.status globally (Phase 2).,users.service updateOrgUser,P1 interaction with global suspend,UR-P3-PA-03
remove_last_admin,Remove last admin?,Blocked by assertNotLastActiveOrgAdmin in removeOrgUser.,removeOrgUser,OK for enum admins,UR-P3-PA-04
demote_last_admin,Demote role / assign non-admin role?,Blocked when leaving ORG_ADMIN via updateOrgUser role change or assignRoleToUser to non-ORG_ADMIN template.,users.service; organization-role.service assignRoleToUser,OK for enum,UR-P3-PA-05
deactivate_admin_role_template,Deactivate admin role template?,System org_admin template cannot be deleted. Custom admin-equivalent templates can be soft-deactivated if no memberships reference them — does not affect ORG_ADMIN memberships using enum role without organizationRoleId.,deleteRole,P2,UR-P3-PA-06
invite_to_admin,Invite as admin?,createInvite can set membershipRole ORG_ADMIN / organizationRoleId org_admin. Accept path checks last-admin only when demoting existing ORG_ADMIN via invite overwrite — not when adding another admin.,organization-invite.service acceptInvite,P2,UR-P3-PA-07
multiple_admin_roles,Multiple admin roles?,Multiple ACTIVE ORG_ADMIN memberships allowed. System template org_admin + custom roles with ORG_ADMIN membershipRole possible.,schema; createRole membershipRole,P2,UR-P3-PA-08
master_admin,Master admin controls?,Platform Role MASTER_ADMIN; separate /admin routes; OrgScoping/Permissions bypass. Seed-admin endpoint still env-enabled in prod (Phase 1). No break-glass designation distinct from MASTER_ADMIN.,RolesGuard; auth seedAdmin,P0 seed-admin; P2 model,UR-P3-PA-09
break_glass,Break-glass accounts?,NONE identified — no breakGlass flag time-boxed elevation or dual-control workflow.,code search MFA/break-glass absent,P1,UR-P3-PA-10
service_accounts,Service accounts?,No first-class service account model for tenant IAM. Integrations use webhook secrets/HMAC; voice MCP scoped tokens separate from user JWT.,auth.guard public paths; no ServiceAccount model,P2,UR-P3-PA-11
privileged_marking,How are privileged accounts marked?,Only MembershipRole.ORG_ADMIN and User.platformRole=MASTER_ADMIN. No privilegedCapability badge derived from permissions. FE AdminBadge based on role.,users-roles badges; schema,P1,UR-P3-PA-12
step_up_critical,Step-up and justification for critical changes?,NONE — password reset role assign suspend remove role template edit require only users-roles.manage/write + session JWT. No re-auth reason code or ticket id.,Phase 2 MFA findings; controllers,P0,UR-P3-PA-13
two_privileged_recommendation,At least two privileged accounts recommended?,NOT enforced in product — only negative constraint (cannot remove last ORG_ADMIN). No UI guidance/policy for dual admin.,assertNotLastActiveOrgAdmin,P2,UR-P3-PA-14
admin_equivalent_permissions,Custom role with admin-equivalent permissions?,YES — createRole accepts arbitrary permission map including users-roles.manage billing.manage payments-* manage. Such users pass PermissionsGuard without being ORG_ADMIN and without last-admin tracking.,OrganizationRoleService.createRole; PermissionsGuard,P0,UR-P3-PA-15
