domain,file,classOrFunction,responsibility,input,output,dataSource,timestampSemantics,writesData,trigger,idempotencyMechanism,consumers,testCoverage,preliminaryRisk
provider-link,backend/prisma/schema.prisma,Vehicle.dimoVehicleId,Canonical link between tenant vehicle and DIMO token row,vehicleId,dimoVehicleId FK,PostgreSQL vehicles,N/A (schema),yes (vehicle CRUD),vehicle onboarding / DIMO pairing,unique constraints,Fleet Connectivity; snapshot poll; webhooks,schema migration tests,P1 — broken link yields not_connected everywhere
provider-link,backend/src/modules/dimo/dimo-auth.service.ts,DimoAuthService.getVehicleJwt,Vehicle-scoped JWT for DIMO GraphQL,dimoTokenId,JWT string,DIMO Identity API,token expiry,read-only cache possible,snapshot/webhook processing,token cache TTL,DimoSnapshotProcessor; DimoTelemetryService,partial,P1 — auth failure blocks all telemetry
authorization,backend/prisma/schema.prisma,VehicleProviderConsent,Records provider consent state per vehicle,consent API payloads,consent rows,PostgreSQL,consent granted/revoked at,write on consent flows,HM/DIMO consent UI,unique per provider+vehicle,integration hub; polling eligibility,limited,P2 — consent drift may block ingestion silently
device-binding,backend/src/modules/vehicles/fleet-connectivity.util.ts,mapFleetConnectivityVehicle,Projects provider device binding metadata for fleet UI,Vehicle+DimoVehicle+VehicleLatestState,FleetConnectivityVehicleDto,Prisma join,pairedAt from aftermarketDevice.pairedAt or dimo createdAt,none,GET fleet-connectivity,none,FleetConnectivityTab; DataAnalyse, fleet-connectivity.util.spec.ts,P2 — masked serial only; binding episode not tracked explicitly
snapshot-intake,backend/src/workers/schedulers/dimo-snapshot.scheduler.ts,DimoSnapshotScheduler.enqueueSnapshotJobs,Enqueues per-vehicle snapshot poll every 30s,Dimo-linked vehicles,BullMQ jobs on dimo.snapshot.poll,PostgreSQL vehicles,@Interval 30s wall clock,enqueue only (BullMQ),Nest scheduler,jobId snapshot-<vehicleId> dedupe,DimoSnapshotProcessor,limited integration,P1 — stalled job blocks vehicle polling
snapshot-intake,backend/src/workers/processors/dimo-snapshot.processor.ts,DimoSnapshotProcessor.process,Fetches signalsLatest and upserts VehicleLatestState,vehicleId+dimoTokenId,VehicleLatestState row,DIMO GraphQL signalsLatest,lastSeenAt from signal timestamps; providerFetchedAt now,yes VehicleLatestState upsert,BullMQ job,lockDuration 60s; per-vehicle jobId,Fleet API; reconcile anchor; ClickHouse optional,dimo-snapshot tests partial,P0 — sole writer of canonical telemetry freshness
snapshot-intake,backend/src/modules/dimo/dimo-telemetry.service.ts,DimoTelemetryService.fetchLatestVehicleSnapshot,GraphQL fetch of full snapshot,vehicle JWT+tokenId,raw DIMO payload,DIMO API,provider signal timestamps,read-only HTTP,snapshot processor,HTTP retry in caller,DimoSnapshotProcessor,partial,P1 — GraphQL errors leave stale lastSeenAt
latest-state,backend/prisma/schema.prisma,VehicleLatestState,Canonical latest telemetry projection per vehicle,snapshot normalization fields,queryable columns+rawPayloadJson,PostgreSQL,lastSeenAt=provider signal time; providerFetchedAt=ingest time,yes upsert,snapshot processor,vehicleId unique,all fleet surfaces; device anchor,schema,P0 — freshness truth for connectionStatus
freshness,backend/src/modules/vehicles/fleet-connectivity.util.ts,deriveConnectionStatus,Maps lastSeenAt to online/standby/offline/not_connected,hasProviderLink+lastSeenMs+nowMs,connectionStatus+statusNote,computed from VehicleLatestState.lastSeenAt,now - lastSeenAt thresholds 15m/24h,none,GET fleet-connectivity,none,Fleet UI; DataAnalyse; useFleetObdPlugIndex,fleet-connectivity.util.spec.ts,P1 — diverges from deviceConnection episode state
freshness,backend/src/modules/vehicles/fleet-connectivity.util.ts,deriveFreshnessLabel,Human label Live / N min ago,lastSeenMs+nowMs,freshnessLabel,VehicleLatestState.lastSeenAt,relative to request time,none,fleet-connectivity API,none,FleetConnectivityTab,fleet-connectivity.util.spec.ts,P2 — cosmetic only
