capability,historical_pr,historical_commit,historical_file,historical_behavior,current_authority,classification,planned_action,risk,notes
Analytics Summary,#773,e65b88dbefb34b99d6c9520a6d785f571a8f33e6,backend business-insights evaluations-analytics-summary.{service,repository,controller}.ts,"Executive summary orchestrator over business-insights: financial snapshot (invoices), booking snapshot, snapshot fleet utilization, legacy strengths/weaknesses; safeSection resilience",E2 EvaluationsAnalyticsScopeService + E3 EvaluationsFinanceService + E1 period/status,REIMPLEMENT_FOR_CURRENT_ARCHITECTURE,"Reimplement as E4 orchestration composing E3 finance + E4 cost/utilization/strength/weakness/driver sections; reuse section-resilience intent only",MED,"Historical summary queried invoices directly and recomputed revenue/expenses; forbidden now (must delegate to E3)"
Analytics Summary,#773,e65b88dbefb34b99d6c9520a6d785f571a8f33e6,shared/evaluations-insights/evaluations-analytics-summary.contract.ts,Response envelope with executive KPIs + section statuses,E1 EvaluationsMetricResponse + section status semantics,REUSE_INTENT_ONLY,"Model section envelope with status/calculationVersion/period/scope/coverage/generatedAt/reason; compose E1 metric responses",LOW,Section-status intent reused; taxonomy adapted to current 6-state semantics
Analytics Summary,#773,e65b88dbefb34b99d6c9520a6d785f571a8f33e6,financial EUR hard-filter + estimatedFinancialExposureMinor in activeRisks,"Skips non-EUR invoices; surfaces guessed monetary exposure",E3 multi-currency fail-closed + E3.5 no unsafe financial exposure,SECURITY_UNSAFE,"Do NOT reintroduce; finance delegated to E3 (currency-safe); no estimatedFinancialExposure Money",HIGH,"UNSAFE_FINANCIAL_EXPOSURE_REINTRODUCTION_COUNT must stay 0"
Analytics Summary,#773,e65b88dbefb34b99d6c9520a6d785f571a8f33e6,dataQuality section,Local data-quality scoring inside summary,E5 owns Data Quality package,E5_SCOPE,"Expose only local section coverage; no global DQ engine",MED,E5_SCOPE_LEAK_COUNT must stay 0
Cost Model,#780,d96ba7a8c6379e533ca17f2f3c77b46bbeb6ee43,shared/evaluations-insights/evaluations-cost-model.ts (cost-model-v1),"KPIs TOTAL_OPERATING_EXPENSES, COST_PER_VEHICLE/KM/RENTAL_DAY/BOOKING, UNPLANNED_MAINTENANCE, DAMAGE_REPAIR, ESTIMATED_FIXED_COSTS; ACTUAL/ESTIMATED/PARTIAL/UNAVAILABLE",E1/E3 Money authority + current Prisma sources,REIMPLEMENT_FOR_CURRENT_ARCHITECTURE,"Rebuild cost domain: observed cost events (ServiceCase.actualCostCents, VehicleDamage.repairCostCents, incoming OrgInvoice) with dedup; estimated fixed costs from per-vehicle leasing/insurance/tax; per-currency money-safe aggregation",MED,"cost-model-v1 is evidence only; adopt cost-model-e4-v1"
Cost Model,#780,d96ba7a8c6379e533ca17f2f3c77b46bbeb6ee43,EUR-only invoice cost filter,Direct-sum EUR cost totals; non-EUR silently dropped,E3 money multi-currency fail-closed,SEMANTICALLY_INCORRECT,"Aggregate per-currency; mixed currency without FX -> segment/PARTIAL, never false single total",HIGH,"COST_MIXED_CURRENCY_FALSE_TOTAL_COUNT / COST_IMPLICIT_CURRENCY_COUNT must stay 0"
Cost Model,#780,d96ba7a8c6379e533ca17f2f3c77b46bbeb6ee43,ESTIMATED_FIXED_COSTS proRateFactor = periodMs/(30*86400000),Pro-rated per-vehicle leasing/insurance/tax estimate,Vehicle.leasingRateCents/insuranceCostCents/taxCostCents (explicit tenant per-vehicle config),REUSE_INTENT_ONLY,"Reuse proration intent; label ESTIMATED with explicit formula/source/version/provenance; proRate by actual period ms (DST-safe)",MED,"Allowed because values are explicit tenant config; missing fields -> UNAVAILABLE not fabricated"
Cost Model,#780,d96ba7a8c6379e533ca17f2f3c77b46bbeb6ee43,VehicleServiceEvent.costCents source,Legacy service-event cost source,"Current schema: ServiceCase + OrgTask(serviceCaseId,invoiceId)",REIMPLEMENT_FOR_CURRENT_ARCHITECTURE,"Use ServiceCase.actualCostCents; dedup vs incoming invoices sharing documentExtractionId/bookingId",MED,"COST_DOUBLE_COUNT_COUNT must stay 0"
Cost Model,#780,d96ba7a8c6379e533ca17f2f3c77b46bbeb6ee43,UNPLANNED_DOWNTIME_COSTS/UNDERUTILIZATION_POTENTIAL/NO_SHOW costs (counts only),Opportunity costs explicitly excluded from actual money,E4 no invented expenses,REUSE_INTENT_ONLY,"Keep excluded from monetary cost; expose as UNAVAILABLE (no monetary attribution)",LOW,"UNPROVEN_COST_ESTIMATE_COUNT must stay 0"
Utilization,#782,46f533afc431d9c68a4486133313e4f5d7888de0,shared/evaluations-insights/evaluations-utilization-intervals.ts,"Interval merge/clip + overlap detection helpers",none (new pure module),REUSE_INTENT_ONLY,"Reimplement pure interval clip/union/overlap primitives with period clipping",LOW,"OVERLAPPING_INTERVAL_DOUBLE_COUNT_COUNT / UTILIZATION_OVER_100_COUNT must stay 0"
