aspect,question,answer,evidence,preliminaryRisk,findingId
role_nature,Is OrganizationRole dynamic or only a template?,TEMPLATE ONLY — used at create/invite/assign to copy fields onto membership; PermissionsGuard never reads OrganizationRole at request time.,organization-role.service assignRoleToUser/updateRole; permissions.guard.ts,P0 — H3,UR-P3-RM-01
permission_copy,Are permissions copied on assign?,YES — assignRoleToUser writes role.permissions role.membershipRole roleLabel fieldAgentAccessDefault stationScopeDefault defaultStationIds onto membership.,OrganizationRoleService.assignRoleToUser,P0,UR-P3-RM-02
later_role_edit,What happens on later role template change?,updateRole updates OrganizationRole row only — no membership cascade; no job; no version bump.,OrganizationRoleService.updateRole,P0,UR-P3-RM-03
memberships_updated,Are existing memberships updated?,NO automatically. Only explicit assignRoleToUser or updateOrgUser permission/role patches.,updateRole vs assignRoleToUser,P0,UR-P3-RM-04
role_version,Does a role version exist?,NO — no roleVersion/permissionVersion column on OrganizationRole Membership JWT or refresh token.,schema.prisma + signAccessToken,P0,UR-P3-RM-05
membership_divergence,Can membership diverge from role?,YES — after copy; updateOrgUser can patch permissions/station/role independently; template edits leave snapshots stale.,users.service updateOrgUser; mapOrgUser still shows organizationRoleName,P0,UR-P3-RM-06
override_explicitness,Are overrides explicit or implicit snapshots?,IMPLICIT SNAPSHOTS — no override flag; membership.permissions IS the working copy. Cannot distinguish inherited vs customized.,schema OrganizationMembership.permissions,P1,UR-P3-RM-07
ui_stale_role_display,Can UI show a role whose effective permissions no longer match?,YES — organizationRoleId/roleLabel/name displayed while membership.permissions may differ from template; FE hasPermission uses login snapshot not template.,mapOrgUser organizationRoleName; RentalContext.hasPermission,P0,UR-P3-RM-08
inactive_roles_effective,Can deactivated roles still be effective?,YES for already-assigned members — deleteRole sets isActive=false but membership keeps copied permissions; listRoles hides inactive templates only.,deleteRole soft-deactivate; PermissionsGuard uses membership.permissions,P1,UR-P3-RM-09
system_roles,How are system roles handled?,Seeded per org via ensureDefaultRoles from DEFAULT_ORGANIZATION_ROLE_TEMPLATES (10 keys: org_admin sub_admin disposition accounting station_manager employee driver field_agent service read_only). isSystemTemplate=true systemKey set.,organization-role.defaults.ts ensureDefaultRoles,P2,UR-P3-RM-10
system_role_mutate,Can system roles be changed copied deleted?,"Rename blocked; permissions/membershipRole/station defaults blocked on system templates; description-only edits allowed. duplicateRole allowed (creates custom copy). deleteRole blocked for system templates. Soft-delete blocked if memberships still reference role (custom only).",updateRole/deleteRole/duplicateRole,P2,UR-P3-RM-11
role_uniqueness,Are roles org-unique?,systemKey unique per org (@@unique organizationId+systemKey). Custom roles systemKey=null — multiple customs allowed; name uniqueness NOT enforced.,schema OrganizationRole,P2 — duplicate custom names possible,UR-P3-RM-12
