dataCategory,purpose,technicalSource,sensitivity,accessCircle,encryptionAtRestAppLevel,currentRetentionMechanism,currentDeletion,anonymization,exportCapability,technicalGap,recommendedPolicy,legalBasisNote,severity,findingId
user_profile,Account identity and org UX,User model fields name firstName lastName phone mobile address language timezone dateFormat,HIGH_PII,self account; org users-roles; MASTER_ADMIN,DB-level only (no app field encryption),none IAM-specific,hard delete via users.service.delete; org remove keeps User,none for User,no subject export package,No soft-delete/anonymize pipeline for User,Retain while account active; anonymize on erase after org orchestration,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-01
email_address,Login identifier unique,User.email; invite.email; audit descriptions/metadata,HIGH_PII,broad IAM readers; logs,none beyond DB,logs unbounded unless RETENTION_ACTIVITY_LOGS_DAYS>0,user delete; invite row remains until manual,scrubPii only on ActivityLogService.log path not AuditService,appears in activity log API,Email leaks into audit descriptions,Minimize in logs; hash/pseudonymize in audit meta,ORGANIZATIONAL_LEGAL_TO_DEFINE,P0,UR-P6-RET-02
password_hash,Authentication secret,User.passwordHash bcrypt,CRITICAL_SECRET,DB/admins with DB access only (not API),bcrypt hash,until password change/delete,overwrite on change; delete with user,n/a,never export,OK hashing; no history table,Keep hash only; never log; no export,ORGANIZATIONAL_LEGAL_TO_DEFINE,P2,UR-P6-RET-03
mfa_secrets,Second factor,NOT_IN_SCHEMA,CRITICAL_SECRET_N/A,n/a,n/a,n/a,n/a,n/a,n/a,MFA absent,When added: encrypt at rest; short recovery display once,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-04
recovery_codes,MFA recovery,NOT_IN_SCHEMA,CRITICAL_SECRET_N/A,n/a,n/a,n/a,n/a,n/a,n/a,MFA absent,Store hashed; show once,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-04
refresh_tokens,Session continuity,refresh_tokens tokenHash family ip userAgent,HIGH_SECURITY,self sessions API; DB,token hashed (SHA-256 in code),RETENTION_REFRESH_TOKENS_DAYS default 30 after expiry via DataRetentionScheduler,prune by age; revoke sets revokedAt,none,session list without raw token,IP/UA retained with token rows,Align IP/UA retention shorter than token hash retention if policy requires,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-05
session_metadata,Device/session UX and security,RefreshToken ip/ua; User lastLoginIp lastLoginDevice,HIGH_PII_TECH,self; org security-activity placeholders,none,tied to refresh retention; lastLogin* unbounded on User,refresh prune; lastLogin fields persist,none,partial session list,lastLoginIp unbounded,Define max age for lastLoginIp/UA; scrub on erase,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-06
ip_addresses,Security forensics,activity_logs.ip_address; refresh_tokens.ip_address; user.last_login_ip,HIGH_PII_TECH,org activity readers; MASTER_ADMIN; DB,none,activityLogs default retention 0 (keep forever if enabled master switch); refresh 30d,deletable via retention/prune,none,yes via activity-log API,Likely longer than necessary if activityLogs retention disabled,Policy-driven TTL; separate security vs product logs,ORGANIZATIONAL_LEGAL_TO_DEFINE,P0,UR-P6-RET-07
user_agents,Security forensics,activity_logs.user_agent; refresh_tokens.user_agent,MEDIUM_PII_TECH,same as IP,none,same as IP,same,none,yes in logs,Same as IP,Truncate/hash UA after short window,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-07
login_failures,Brute-force/security monitoring,ActivityLog AUTH_FAIL,MEDIUM_SECURITY,org/master activity readers,none,activityLogs retention default off,deletable,descriptions may include email hints,yes,No dedicated lockout store; unbounded if retention 0,Retain security events per policy e.g. 90–180d,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-08
invite_emails,Joiner delivery,organization_user_invites.email,HIGH_PII,org users-roles,none,no dedicated invite retention job; 7d expiry status only,manual revoke; no prune of old ACCEPTED/EXPIRED,none,list invites API,Stale invite PII accumulates,Purge expired/accepted invites after N days keeping audit alias,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-09
invite_token_hashes,Invite authenticity,tokenHash bcrypt; tokenLookup sha256,HIGH_SECURITY,DB only,hashed,no prune job,row delete only,n/a,never,Expired tokens linger,Delete hash material after accept/expiry+grace,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-09
audit_logs,Accountability evidence,activity_logs + metaJson.auditAction,HIGH_MIXED,users-roles.read org; MASTER_ADMIN all; platform prune can wipe,none app-level,RETENTION_ACTIVITY_LOGS_DAYS default 0 (disabled delete),DataRetentionScheduler can delete; platform-admin prune deletes all,ActivityLogService scrub not used by AuditService,paginated GET not package export,Unbounded growth OR wipe risk; not WORM,Immutable store + policy TTL + legal hold exception,ORGANIZATIONAL_LEGAL_TO_DEFINE,P0,UR-P6-RET-10
permission_history,Access change evidence,Only ActivityLog before/after JSON — no dedicated history table,HIGH_SECURITY,same as audit,none,same as audit_logs,same,none,via metaJson,No queryable history API; fire-and-forget loss,Dedicated append-only access-change ledger,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-11
access_reviews,Periodic certification,NOT_IN_SCHEMA,HIGH_GOVERNANCE_N/A,n/a,n/a,n/a,n/a,n/a,n/a,Missing,Retain review evidence per compliance policy when built,ORGANIZATIONAL_LEGAL_TO_DEFINE,P1,UR-P6-RET-12
support_security_events,Support ops / security,SupportTicket PII fields; AUTH_* activity,HIGH_PII,support/admin paths,none,support not in IAM retention config,ad-hoc,none,support APIs,Separate from IAM audit,Align support retention with org policy,ORGANIZATIONAL_LEGAL_TO_DEFINE,P2,UR-P6-RET-13
