concept,canonical_source_model,canonical_source_field,amount_semantics,currency_source,business_timestamp,tenant_key,station_relation,status_filter,included_in_revenue,included_in_cashflow,included_in_receivables,included_in_result,notes
issued_revenue,OrgInvoice,totalCents,gross invoice total (minor units),OrgInvoice.currency,issuedAt then invoiceDate,organizationId,none (indirect via vehicleId/bookingId),outgoing types and NOT in {DRAFT CANCELLED VOID CREDITED},yes,no,no,yes,Finalized outgoing invoice is the revenue authority; not bookings/payments/deposits
paid_revenue_cash_inflow,OrgInvoicePayment,amountCents,settled customer payment (minor units),parent OrgInvoice.currency,paidAt,organizationId,none,payment on outgoing invoice; settled (row exists),no,yes,no,no,Cash inflow authority; authorizations/pending intents are not rows here
expenses,OrgInvoice,totalCents,gross vendor invoice total (minor units),OrgInvoice.currency,invoiceDate then createdAt,organizationId,none,incoming types and NOT in {DRAFT CANCELLED VOID REJECTED},no,no,no,yes,Only existing incoming invoices; no estimated/E4 cost model
open_receivables,OrgInvoice,outstandingCents,authoritative outstanding balance (minor units),OrgInvoice.currency,point-in-time (reference),organizationId,none,outgoing open (not paid/void/cancelled/credited/draft) and outstanding>0 and NOT overdue,no,no,yes,no,Partial payments reduce outstanding; never negative
overdue_receivables,OrgInvoice,outstandingCents,authoritative outstanding balance (minor units),OrgInvoice.currency,dueDate vs reference,organizationId,none,open receivable and (status OVERDUE or dueDate<reference),no,no,yes,no,dueDate is the authority; createdAt never used as due date
total_outstanding_receivables,OrgInvoice,outstandingCents,authoritative outstanding balance (minor units),OrgInvoice.currency,point-in-time (reference),organizationId,none,all open receivables (open + overdue),no,no,yes,no,Derived rollup = open + overdue
deposit,BookingDeposit,amountCents/retainedAmountCents,security deposit hold (minor units),BookingDeposit.currency,receivedAt/refundedAt,organizationId,via booking,separate deposit lifecycle,no,no,no,no,DEPOSIT != REVENUE; excluded from all analytic metrics by construction (not queried)
refund,PaymentTransaction (type REFUND),amountCents,settled refund outflow (minor units),PaymentTransaction.currency,occurredAt,organizationId,via BookingPaymentRequest,type=REFUND status=SUCCEEDED,no,cashflow-outflow (calculator supports; not sourced by service on current main),no,no,Refund affects cashflow in its own settlement period; revenue correction only via credit note/void
provider_platform_fee,BookingPaymentRequest/PaymentTransaction,applicationFeeAmountCents/applicationFeeImpactCents,Stripe Connect application fee (minor units),currency,occurredAt,organizationId,via booking,type=APPLICATION_FEE,no,no,no,no,Kept distinct from customer revenue; not netted into revenue
payout,none (not mirrored in Prisma),n/a,n/a,n/a,n/a,organizationId,n/a,n/a,no,no,no,no,No payout ledger on current main; payout != customer payment; never double counted
platform_subscription,BillingInvoice/BillingSubscription,amountCents,SaaS subscription billing (minor units),BillingInvoice.currency,paidAt/issuedAt,organizationId (via subscription),n/a,SaaS billing domain,no,no,no,no,PLATFORM SUBSCRIPTION != RENTAL REVENUE; strictly separate domain
credit_note,OrgInvoice (status CREDITED) / BillingCreditNote,totalCents,revenue correction authority,currency,creditedAt,organizationId,none,CREDITED excluded from revenue,no,no,no,no,Revenue correction path; excluded status removes invoice from revenue/receivables
organization_reporting_currency,OrganizationPaymentAccount,defaultCurrency,org configured operating currency,OrganizationPaymentAccount.defaultCurrency,n/a,organizationId,n/a,settings authority,n/a,n/a,n/a,n/a,Used only to express a true-zero period; never overrides an invoice currency; null => UNAVAILABLE
iso4217_authority,shared/money/iso4217-currency-codes.ts,ISO4217_CURRENCY_CODES,currency code allowlist (E1),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Single currency-code authority reused; minor-unit exponents added in shared/evaluations-finance/evaluations-money.ts
