pr,pr_head_sha,historical_path,symbol,artifact_type,internal_logic_class,salvage_class,canonical_replacement,target_phase,privacy_risk,quality_risk,future_phase,notes
#792,c82e44936217,frontend/src/rental/components/evaluations/EvaluationsMetricStateBadge.tsx,EvaluationsMetricStateBadge,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E1 EvaluationsMetricStatus,E6B,none,none,,partial->warning unavailable->neutral(not green) never UNAVAILABLE->0; safe status badge
#792,c82e44936217,frontend/src/rental/components/evaluations/EvaluationsMetricValue.tsx,EvaluationsMetricValue,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E1 metric response,E6B,none,none,,renders resolved state; placeholder — when !canShowValue
#792,c82e44936217,frontend/src/rental/components/evaluations/EvaluationsMetricKpiCard.tsx,EvaluationsMetricKpiCard,component,PRESENTATION_WITH_UNSAFE_LOGIC,ADAPT_COMPONENT,E1 metric response,E6B,none,low,,'(rawValue??0)>0' accent coerces missing->0 for color only; fix accent guard
#792,c82e44936217,frontend/src/rental/hooks/useEvaluationsAnalyticsSummary.ts,useEvaluationsAnalyticsSummary,hook,CANONICAL_COMPATIBLE,REIMPLEMENT_AGAINST_CANONICAL_API,E4 /insights/summary (was E2 summary),E6A,none,none,,repoint from E2 entity-ref summary to E4 insights summary; no client aggregation
#792,c82e44936217,frontend/src/rental/hooks/useEvaluationsInsightsAnalytics.ts,useEvaluationsInsightsAnalytics,hook,CANONICAL_COMPATIBLE,REIMPLEMENT_AGAINST_CANONICAL_API,E4 insights endpoints,E6A,none,none,,repoint to canonical E4; keep validators
#792,c82e44936217,frontend/src/rental/hooks/useEvaluationsAnalyticsFilters.ts,useEvaluationsAnalyticsFilters,hook,CANONICAL_COMPATIBLE,ADAPT_COMPONENT,E1 period + E2 station scope,E6A,none,none,,URL+localStorage filter persistence; map to periodType+stationIds
#792,c82e44936217,frontend/src/rental/lib/evaluations-analytics-api.types.ts,evaluations-analytics-api.types,lib,CANONICAL_COMPATIBLE,ADAPT_COMPONENT,@synq mirrors + E4/E5 local types,E6A,none,none,,add E4/E5 client types (no shared mirror/alias exists yet)
#792,c82e44936217,frontend/src/rental/components/insights/EvaluationsAnalyticsFilterBar.tsx,EvaluationsAnalyticsFilterBar,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E1 period + E2 station,E6B,none,none,,global filter UI (period/station)
#793,ff34b66f0074,frontend/src/rental/components/evaluations/EvaluationsDataQualityAdminPanel.tsx,EvaluationsDataQualityAdminPanel,component,PRESENTATION_WITH_UNSAFE_LOGIC,REIMPLEMENT_AGAINST_CANONICAL_API,E5 EvaluationsQualityReport,E6C,med,high,,UNSAFE: client role gate isEvaluationsDataQualityAdmin + deriveErrorRatePercent heuristic (100-coverage). Drop derivation; render E5 dimensions; gate server-side
#793,ff34b66f0074,frontend/src/rental/components/evaluations/EvaluationsDataQualityStateBadge.tsx,EvaluationsDataQualityStateBadge,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E5 E5DimensionState,E6C,none,none,,maps dimension state->tone; safe
#793,ff34b66f0074,frontend/src/rental/components/evaluations/EvaluationsDataQualitySourceCard.tsx,EvaluationsDataQualitySourceCard,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E5 section quality + lineage,E6C,none,low,,display-only; must bind errorRate/coverage from E5 contract not client heuristic
#793,ff34b66f0074,frontend/src/rental/components/evaluations/EvaluationsDataQualityUserHint.tsx,EvaluationsDataQualityUserHint,component,PRESENTATION_ONLY,COPY_VISUAL_PATTERN_ONLY,E5 report,E6C,none,none,,hint pattern
#794,14072b3141bb,frontend/src/rental/components/evaluations/EvaluationsSection.tsx,EvaluationsSection,component,PRESENTATION_ONLY,ADAPT_COMPONENT,n/a,E6B,none,none,,collapsible section shell w/ status/loading/empty states
#794,14072b3141bb,frontend/src/rental/components/evaluations/EvaluationsSectionNav.tsx,EvaluationsSectionNav,component,PRESENTATION_ONLY,ADAPT_COMPONENT,n/a,E6B,none,none,,sticky anchor nav
#794,14072b3141bb,frontend/src/rental/components/evaluations/evaluations-page.constants.ts,evaluations-page.constants,lib,PRESENTATION_ONLY,ADAPT_COMPONENT,n/a,E6B,none,none,,section order/id constants; strip Risks/Actions sections
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsExecutiveSummarySection.tsx,EvaluationsExecutiveSummarySection,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E4 insights summary,E6B,none,none,,
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsFinanceSection.tsx,EvaluationsFinanceSection,component,PRESENTATION_WITH_UNSAFE_LOGIC,ADAPT_COMPONENT,E3 finance + E4,E6B,med,low,,consumes useEvaluationsInvoiceData (legacy PII+math) for detail; rebind to canonical; keep invoice line-items only if needed
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsFleetSection.tsx,EvaluationsFleetSection,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E4 utilization,E6B,none,none,,
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsCostsDowntimeSection.tsx,EvaluationsCostsDowntimeSection,component,CANONICAL_COMPATIBLE,ADAPT_COMPONENT,E4 cost-model + utilization downtime,E6B,none,low,,downtime via utilization fields (blockedMs null on main -> render UNAVAILABLE)
