theme,isoOrientedTopic,readiness,currentTechnicalSupport,evidence,gap,organizationalDependency,severity,findingId
identity_management,Identity Management,PARTIAL,Global User + OrganizationMembership + platformRole; Clerk not runtime,schema User/Membership; auth module,Multi-org identity side effects (global password/status); no identity lifecycle orchestrator,Identity ownership policy across tenants,P0,UR-P6-ISO-01
authentication_information,Authentication Information,PARTIAL,bcrypt passwordHash; refresh token hashes; invite token hashes; no MFA secrets,users/account/refresh/invite token utils,Direct admin password set; mustChangePassword unenforced; no reset tokens,Password/MFA standards policy,P0,UR-P6-ISO-02
access_rights_provisioning,Access Rights Provisioning,PARTIAL,Invites + createOrgUser + role templates + permissions JSON,organization-invite/role/users services,Plaintext invite secrets; existing-user accept without re-auth; no approval workflow,Joiner approval SoD,P0,UR-P6-ISO-03
access_rights_modification,Access Rights Modification,PARTIAL,updateOrgUser assignRole permission/scope patches with before/after audits (void),users.service organization-role.service,No session invalidation; no impact preview; template non-propagation,Change-management for access,P0,UR-P6-ISO-04
access_rights_removal,Access Rights Removal,PARTIAL,membership REMOVED; invite revoke; last-admin enum check,removeOrgUser revokeInvite,Sessions not revoked; suspend is global User.status; no deprovisioning service,Leaver runbook,P0,UR-P6-ISO-05
privileged_access_rights,Privileged Access Rights,PARTIAL,ORG_ADMIN bypass; users-roles.manage; MASTER_ADMIN; seed-admin flag,PermissionsGuard RolesGuard ENABLE_SEED_ADMIN,No step-up; last-admin ignores custom privileged; break-glass unaudited,Privileged access policy + monitoring,P0,UR-P6-ISO-06
segregation_of_duties,Segregation of Duties,MISSING,No dual-control/maker-checker for admin invite password reset role grant,n/a,Single actor can invite ORG_ADMIN reset passwords remove users,SoD policy and dual approval design,P0,UR-P6-ISO-07
secure_authentication,Secure Authentication,PARTIAL,JWT+refresh; login throttle global; password length checks,auth.controller refresh-token.service,No MFA; 24h access TTL; refresh unbound to org; reuse not audited,Auth standard (MFA AAL),P0,UR-P6-ISO-08
logging,Logging,PARTIAL,ActivityLog + UserAccessAuditAction codes + Auth ActivityAction; request logging redacts query token,audit.service user-access-audit auth.controller,Fire-and-forget; coverage gaps (reuse master reset MFA AR export); PII scrub bypass,Logging standard + immutable store,P0,UR-P6-ISO-09
monitoring_activities,Monitoring Activities,PARTIAL,Activity log UI/API; observability metrics guarded; AUTH_FAIL events,activity-log.controller metrics-auth,No alerting on missing IAM audits or reuse; Phase4 auditAction=0 undetected in-product,SOC/monitoring playbooks,P1,UR-P6-ISO-10
information_deletion,Information Deletion,PARTIAL,DataRetentionScheduler; membership remove; user hard delete; document legal hold elsewhere,retention.config data-retention.scheduler,IAM anonymization missing; activityLogs default never prune; invites uncleared; prune can wipe evidence,Retention & deletion policy,P0,UR-P6-ISO-11
data_masking,Data Masking,PARTIAL,ActivityLogService scrubPii*; request log redaction; audit aliases in this audit repo only,activity-log.service request-logging.interceptor,AuditService bypasses scrub; FE may show emails; no systematic masking layer for IAM exports,Data classification & masking rules,P1,UR-P6-ISO-12
privacy_protection_of_pii,Privacy and Protection of PII,PARTIAL,Tenant org scoping; hashed secrets; some scrubbing,OrgScopingGuard bcrypt,Invite/clipboard/log PII; unbounded IP in logs; no DSAR package,Privacy by design reviews (organizational),P0,UR-P6-ISO-13
incident_management,Information Security Incident Management,PARTIAL,AUTH_FAIL/WARN logs; refresh reuse revokes family; support tickets,auth + refresh-token + support,Reuse not in ActivityLog; no IAM incident workflow hooks; seed-admin risk,IR runbooks & on-call,P1,UR-P6-ISO-14
cloud_service_access,Cloud Service Access,PARTIAL,Platform/org product integrations; metrics auth; DIMO/HM separate modules,integrations modules,Not fully assessed here for IAM cloud admin paths; seed-admin on VPS,Cloud admin access inventory,P2,UR-P6-ISO-15
supplier_third_party_access,Supplier/Third-Party Access,PARTIAL,Vendor module + data authorizations exist outside core IAM users-roles,vendors data-authorizations,No unified third-party access review tied to IAM EffectiveAccess,Supplier access governance,P2,UR-P6-ISO-16
periodic_access_review,Periodic Access Review,MISSING,No AccessReview model/jobs/attestation (Phase5),iam-access-review-readiness CSV; VPS accessReviewsFound=0,Entire control missing technically,Review cadence owners evidence retention,P0,UR-P6-ISO-17
disclaimer,n/a,NOT_APPLICABLE,This matrix is technical alignment to control objectives only — not an ISO/IEC 27001 certification claim or audit opinion,Prompt 6 scope note,Certification requires accredited audit + ISMS,Engage compliance separately,n/a,UR-P6-DISCLAIMER
