# SUPERSEDED_BY_E6_0 (2026-08-12): component-level salvage classifications refined in phase3-e6-component-salvage-matrix-2026-08.csv; see also phase3-e6-execution-blueprint-2026-08.md
artifact_type,artifact_id,title,branch,sha,state,path,historical_phase,classification,canonical_replacement,reuse_decision,risk,notes
pr,#792,Metric State UX (Prompt 28/54),cursor/evaluations-metric-state-ux-8427,c82e44936217,OPEN,frontend,E6,E6_CANDIDATE,E1 EvaluationsMetricResponse.status,REUSABLE_WITH_ADAPTATION,low,Truthful availability badges/value; already tagged E6 UI in E5 source matrix
pr,#793,Data-Quality panel for admins (Prompt 29/54),cursor/evaluations-data-quality-panel-8427,ff34b66f0074,OPEN,frontend,E6,E6_CANDIDATE,E5 EvaluationsQualityReport,REUSABLE_WITH_ADAPTATION,med,Bind to E5 quality dimensions; must not green-wash UNKNOWN
pr,#794,Auswertungen Information Architecture (Prompt 30/54),cursor/evaluations-information-architecture-8427,14072b3141bb,OPEN,frontend,E6,E6_CANDIDATE,E4 insights summary + E5 quality,REUSABLE_WITH_ADAPTATION,med,CORE 9-section IA; strip section 4 (forecasts=E8/E9) and section 8 (actions=E7); re-point data from E2 summary to E4 insights
pr,#795,Executive KPI Strip (Prompt 31/54),cursor/evaluations-executive-kpi-strip-8427,2759f2235310,OPEN,frontend,E6,E6_CANDIDATE,E3 finance + E4 summary,REUSABLE_WITH_ADAPTATION,low,KPI strip over canonical finance/summary
pr,#796,Strengths/Weaknesses Cockpit (Prompt 32/54),cursor/evaluations-sw-cockpit-8427,cb2ced964d28,OPEN,frontend,E6,E6_CANDIDATE,E4 strengths/weaknesses sections,REUSABLE_WITH_ADAPTATION,low,Render E4 evaluatedDimensions/skippedDimensions honestly
pr,#798,Risk/Cost/Downtime Visualizations (Prompt 33/54),cursor/evaluations-risk-cost-viz-8427,7f6dde4c8c50,OPEN,frontend,E6,E6_CANDIDATE,E4 cost-model,REUSABLE_WITH_ADAPTATION,med,Cost/downtime viz = E6; any forecast/predictive risk = E8/E9 (verify before reuse)
pr,#801,Mobile & Responsive Readiness (Prompt 34/54),cursor/evaluations-mobile-readiness-8427,6434434e750a,OPEN,frontend,E6,E6_CANDIDATE,N/A (cross-cutting UI),CONCEPT_ONLY,low,Design guidance; reimplement on current components
pr,#803,Accessibility & i18n (Prompt 35/54),cursor/evaluations-a11y-i18n-8427,ddad560687ad,OPEN,frontend,E6,E6_CANDIDATE,N/A (cross-cutting UI),REUSABLE_WITH_ADAPTATION,low,i18n keys/patterns; a11y patterns
pr,#818,E2E & visual regression (Prompt 51/54),cursor/evaluations-e2e-visual-8427,MERGED,MERGED,frontend/e2e,E6,E6_OVERLAP,frontend/e2e/evaluations-*.spec.ts,REUSABLE_WITH_ADAPTATION,low,Evaluations E2E specs already present on main; extend for E6 IA
pr,#804,Recommendation domain model (Prompt 36),cursor/evaluations-recommendation-domain-8427,9eae4b1246fc,OPEN,backend,E7,BELONGS_TO_E7,n/a,DO_NOT_IMPLEMENT_IN_E6,contamination,Reserve for E7
