changeEvent,affectedMembershipCountKnownBefore,permissionsGainedKnown,permissionsLostKnown,sessionsInvalidated,stationsImpactKnown,privilegedAccessEmergenceKnown,apiTokensAffected,propagationMode,uiImpactPreviewExists,auditEvent,preliminaryRisk,findingId
update_organization_role_template,NO — updateRole does not count memberships using role (only deleteRole counts inUse to block delete),NO automated diff,NO automated diff,NONE,NO (defaults not pushed),NO,JWT unchanged; membership permissions unchanged so BE effective access unchanged until reassign,NONE — template only,permissionPreview exists for single role read but not change-impact on members,ROLE_UPDATED void,P0 — silent template drift vs assigned users,UR-P3-RC-01
assign_role_to_user,single target only,implicit overwrite from template (no before/after permission diff returned to client beyond audit before organizationRoleId),prior membership.permissions overwritten without merge,NONE — no revoke,station fields overwritten from role defaults,YES if new membershipRole ORG_ADMIN or manage perms — not flagged,access JWT membershipRole stale until refresh/re-login; FE snapshot stale,IMMEDIATE on membership row only,no blast-radius UI,ROLE_ASSIGNED void,P0 — overwrite custom overrides; no session kill,UR-P3-RC-02
update_org_user_role_enum,single target,no structured gain/loss report,no,NONE,optional if station fields in same PATCH,last-admin check if leaving ORG_ADMIN only,JWT membershipRole stale,IMMEDIATE membership.role,no,USER_ROLE_CHANGED void,P1,UR-P3-RC-03
update_org_user_permissions_override,single target,no diff API,no,NONE,n/a,if manage granted — not specially flagged,FE stale; BE live,IMMEDIATE membership.permissions,PermissionEditor local only,USER_PERMISSIONS_CHANGED void,P1,UR-P3-RC-04
update_org_user_station_scope,single target,n/a,n/a,NONE,changed fields only for that user,n/a,n/a,IMMEDIATE membership station fields,limited UI,USER_STATION_SCOPE_CHANGED void,P1,UR-P3-RC-05
deactivate_role_template,blocked if any membership has organizationRoleId; else soft isActive=false — already-copied permissions remain,n/a,n/a,NONE,n/a,n/a,n/a,NONE for members,delete blocked message only,ROLE_DELETED void,P1 — orphaned effective perms,UR-P3-RC-06
duplicate_role,n/a new template,copy of source permissions,n/a,NONE,n/a,n/a,n/a,creates new inactive-impact template,no,ROLE_CREATED void,P2,UR-P3-RC-07
invite_with_role,creates invite snapshot of role fields at invite time — later template edits do not update pending invite,snapshot at create,n/a,n/a,snapshot station fields,if ORG_ADMIN invite,n/a,invite row snapshot; accept copies invite→membership,no pending-invite refresh on role edit,USER_INVITED void,P1,UR-P3-RC-08
versioned_propagation,NOT AVAILABLE,n/a,n/a,n/a,n/a,n/a,n/a,NOT IMPLEMENTED — no roleVersion,n/a,n/a,P0 gap vs target architecture,UR-P3-RC-09
impact_api,NO dedicated impact endpoint,permissionPreview returns template normalized permissions only — not member count or diff,no,no,no,no,no,read-only preview of template,RolesTab may show preview,none beyond preview,P0 missing control,UR-P3-RC-10
fe_drawer_assign_after_update,UserDetailDrawer can update user then assignRole — assign overwrites custom permissions from earlier save,single user,destructive to overrides,NONE,yes via assign defaults,possible,stale FE,IMMEDIATE last-write-wins,no warning of override clobber,audits for both actions,P1,UR-P3-RC-11
