anonymizedVehicleId,recordType,recordId,timestamp,source,axle,component,valueMm,odometerKm,confidence,classification,eligibleForBacktest,exclusionReason,notes
VEHICLE_004,reference_spec,spec_004_front_pad,2026-04-04 19:38:12.318,MANUAL,front,pad,11,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_004,reference_spec,spec_004_front_disc,2026-04-04 19:38:12.318,MANUAL,front,disc,36,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_004,reference_spec,spec_004_rear_pad,2026-04-04 19:38:12.318,MANUAL,rear,pad,9,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_004,reference_spec,spec_004_rear_disc,2026-04-04 19:38:12.318,MANUAL,rear,disc,25,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_002,reference_spec,spec_002_front_pad,2026-04-04 20:25:46.889,MANUAL,front,pad,10,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_002,reference_spec,spec_002_front_disc,2026-04-04 20:25:46.889,MANUAL,front,disc,25,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_002,reference_spec,spec_002_rear_pad,2026-04-04 20:25:46.889,MANUAL,rear,pad,9,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_002,reference_spec,spec_002_rear_disc,2026-04-04 20:25:46.889,MANUAL,rear,disc,20,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_005,reference_spec,spec_005_front_pad,2026-04-04 22:22:06.66,MANUAL,front,pad,13,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_005,reference_spec,spec_005_front_disc,2026-04-04 22:22:06.66,MANUAL,front,disc,25,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_005,reference_spec,spec_005_rear_pad,2026-04-04 22:22:06.66,MANUAL,rear,pad,10,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_005,reference_spec,spec_005_rear_disc,2026-04-04 22:22:06.66,MANUAL,rear,disc,20,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_006,reference_spec,spec_006_front_pad,2026-07-02 18:53:28.21,MANUAL,front,pad,11,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_006,reference_spec,spec_006_front_disc,2026-07-02 18:53:28.21,MANUAL,front,disc,22,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_006,reference_spec,spec_006_rear_pad,2026-07-02 18:53:28.21,MANUAL,rear,pad,9,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_006,reference_spec,spec_006_rear_disc,2026-07-02 18:53:28.21,MANUAL,rear,disc,12,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_001,reference_spec,spec_001_front_pad,2026-07-06 17:27:15.861,MANUAL,front,pad,11,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_001,reference_spec,spec_001_front_disc,2026-07-06 17:27:15.861,MANUAL,front,disc,22,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
VEHICLE_001,reference_spec,spec_001_rear_pad,2026-07-06 17:27:15.861,MANUAL,rear,pad,9,,,SPEC_ONLY,false,spec_fallback_not_ground_truth,registration/reference spec — not a confirmed measurement
VEHICLE_001,reference_spec,spec_001_rear_disc,2026-07-06 17:27:15.861,MANUAL,rear,disc,18,,,SPEC_ONLY,false,spec_fallback_not_ground_truth; rotor_width_used_as_disc_thickness_risk,reference rotor width — semantic mismatch vs disc thickness
