path,component,type,producer,consumer,persistence,tenant_scope,derives_status,tests,risk,notes
backend/src/modules/rental-health/rental-health.service.ts,RentalHealthService,service,no,yes,none,orgId_required,yes,rental-health.service.spec.ts,high,Central rental_blocked aggregator; 7 modules; consumption-only
backend/src/modules/rental-health/rental-health.types.ts,"resolveRentalBlockedState, computeOverallState",util,no,yes,none,n/a,yes,rental-health.types.spec.ts,high,Canonical overall_state + blocking mapping
backend/src/modules/rental-health/rental-health.controller.ts,RentalHealthController,controller,no,yes,none,OrgScopingGuard,no,rental-health.controller.spec.ts,low,GET /rental-health/* APIs
backend/src/modules/rental-health/rental-health-fleet.service.ts,RentalHealthFleetService,service,no,yes,redis_cache,orgId_required,yes,rental-health-fleet.service.spec.ts,medium,Paginated fleet rental health
backend/src/modules/rental-health/rental-health-summary.service.ts,RentalHealthSummaryService,service,no,yes,redis_cache,orgId_required,yes,rental-health-summary.service.spec.ts,medium,Fleet row projection
backend/src/modules/rental-health/tire-rental-health.policy.ts,buildTireModuleHealth,policy,no,yes,none,n/a,yes,tire-rental-health.policy.spec.ts,high,Tire rental module + hard block rules
backend/src/modules/rental-health/brake-rental-health.policy.ts,buildBrakeModuleHealth,policy,no,yes,none,n/a,yes,brake-rental-health.policy.spec.ts,high,Brake rental module + hard block rules
backend/src/modules/rental-health/tire-rental-health-review.service.ts,TireRentalHealthReviewService,service,yes,yes,postgres,orgId_required,yes,none,medium,Manual tire override CRUD
backend/src/modules/rental-health/brake-rental-health-review.service.ts,BrakeRentalHealthReviewService,service,yes,yes,postgres,orgId_required,yes,brake-rental-health-review.service.spec.ts,medium,Manual brake override CRUD
backend/src/modules/vehicle-intelligence/battery-health/battery-readiness.policy.ts,evaluateBatteryReadiness,policy,yes,yes,none,param,yes,battery-readiness.policy.spec.ts,high,Battery blocksRental authority
backend/src/modules/vehicle-intelligence/battery-health/canonical-battery-health.service.ts,CanonicalBatteryHealthService,service,yes,yes,postgres,orgId_required,yes,spec,high,Canonical battery read API
backend/src/modules/vehicle-intelligence/battery-health/battery-v2.service.ts,BatteryV2Service,service,yes,yes,postgres,orgId_required,yes,integration,high,Battery V2 pipeline orchestration
backend/src/modules/vehicle-intelligence/battery-health/battery-task.service.ts,BatteryTaskService,service,yes,yes,postgres,orgId_required,yes,spec,medium,Auto-task from battery readiness
backend/src/modules/vehicle-intelligence/tires/tire-health.service.ts,TireHealthService,service,yes,yes,postgres,orgId_required,yes,regression,high,Tire health summary producer
backend/src/modules/vehicle-intelligence/tires/tire-health-alert.service.ts,TireHealthAlertService,service,yes,yes,postgres,orgId_required,yes,tire-health-alert.spec.ts,medium,Sync tire alerts + notifications
backend/src/modules/vehicle-intelligence/brakes/brake-health.service.ts,BrakeHealthService,service,yes,yes,postgres,orgId_required,yes,regression,high,Brake health summary producer
backend/src/modules/vehicle-intelligence/brakes/brake-health-alert.service.ts,BrakeHealthAlertService,service,yes,yes,postgres,orgId_required,yes,spec,medium,Sync brake alerts
backend/src/modules/vehicle-intelligence/dtc/dtc.service.ts,DtcService,service,yes,yes,postgres,orgId_required,yes,none,high,DTC ingest severity summary
backend/src/modules/vehicle-intelligence/service-compliance/service-compliance.service.ts,ServiceComplianceService,service,yes,yes,postgres,orgId_required,yes,spec,high,TUV/BOKraft/service overdue
backend/src/modules/vehicle-intelligence/dashboard-warning-lights/dashboard-warning-lights.service.ts,DashboardWarningLightsService,service,yes,yes,none,orgId_required,yes,spec,medium,OEM warning lights from telemetry
backend/src/modules/vehicle-intelligence/health-summary/vehicle-health-tab-summary.service.ts,VehicleHealthTabSummaryService,service,no,yes,none,orgId_required,yes,spec,medium,UI health tab findings aggregator
backend/src/modules/vehicle-intelligence/damages/damages.service.ts,DamagesService,service,yes,yes,postgres,orgId_required,yes,none,medium,Damage rentalImpact BLOCK_RENTAL
backend/src/modules/vehicle-intelligence/misuse-cases/misuse-case-rules.service.ts,MisuseCaseRulesService,service,yes,yes,postgres,orgId_required,yes,spec,medium,Driving misuse findings
backend/src/modules/technical-observations/technical-observations.service.ts,TechnicalObservationsService,service,yes,yes,postgres,orgId_required,yes,technical-observations.service.spec.ts,high,VehicleComplaint blocksRental
backend/src/modules/technical-observations/technical-observations.controller.ts,TechnicalObservationsController,controller,no,yes,postgres,OrgScopingGuard,no,none,low,REST observations API
backend/src/modules/service-cases/service-cases.service.ts,ServiceCasesService,service,yes,yes,postgres,orgId_required,yes,service-cases.service.spec.ts,high,ServiceCase.blocksRental
backend/src/modules/service-cases/service-cases.controller.ts,ServiceCasesController,controller,no,yes,postgres,OrgScopingGuard,no,integration,low,REST service cases API
backend/src/modules/vehicles/vehicle-state-interpreter.ts,classifyTelemetryFreshness,util,no,yes,none,n/a,yes,spec,high,Canonical telemetry freshness bands
backend/src/modules/vehicles/telemetry-freshness.resolver.ts,TelemetryFreshnessResolver,service,no,yes,none,orgId_required,yes,spec,medium,Vehicle detail freshness DTO
backend/src/modules/vehicles/operational/fleet-operational-state.util.ts,buildFleetOperationalStateDto,util,no,yes,none,n/a,yes,state-engine specs,medium,Booking-derived operational status
backend/src/modules/vehicles/fleet-connectivity.util.ts,fleet-connectivity util,util,no,yes,none,orgId_required,yes,fleet-connectivity.util.spec.ts,medium,Fleet connectivity classification
backend/src/modules/vehicles/connectivity/domain/vehicle-connectivity-runtime-state.builder.ts,VehicleConnectivityRuntimeStateBuilder,util,no,yes,none,orgId_required,yes,spec,high,Connectivity runtime SSOT
backend/src/modules/vehicles/vehicles.service.ts,VehiclesService,service,no,yes,postgres+redis,orgId_required,yes,many specs,high,Composition root fleet/detail operationalState
backend/src/modules/vehicles/vehicles.controller.ts,VehiclesController,controller,no,yes,none,OrgScopingGuard,no,spec,low,Fleet map vehicle detail APIs
backend/src/modules/dimo/connectivity-alert/connectivity-alert.service.ts,ConnectivityAlertService,service,yes,yes,postgres,orgId_required,yes,spec,high,Offline/unplug notifications
backend/src/modules/dimo/connectivity-alert/connectivity-alert.policy.ts,connectivity-alert policy,policy,no,yes,none,n/a,yes,spec,high,Alert open/resolve rules
backend/src/modules/dimo/device-connection-episode.service.ts,DeviceConnectionEpisodeService,service,yes,yes,postgres,orgId_required,yes,specs,high,Connectivity episode persistence
backend/src/modules/dimo/device-connection-episode-resolution/vehicle-connectivity-runtime-projection.service.ts,VehicleConnectivityRuntimeProjectionService,service,no,yes,none,orgId_required,yes,processor spec,high,Batch connectivity runtime projection
backend/src/modules/business-insights/business-insights.service.ts,BusinessInsightsService,service,yes,yes,postgres,orgId_required,yes,many specs,high,Detectors to DashboardInsight + notifications
backend/src/modules/business-insights/business-insights-scheduler.service.ts,BusinessInsightsSchedulerService,scheduler,yes,no,postgres,orgId_required,no,runtime spec,medium,Periodic insight runs
backend/src/modules/business-insights/insight-task-bridge.service.ts,InsightTaskBridgeService,service,yes,yes,postgres,orgId_required,yes,none,high,Insights to OrgTask blocksVehicleAvailability
backend/src/modules/business-insights/detectors/battery-critical.detector.ts,BatteryCriticalDetector,detector,yes,yes,postgres,orgId_required,yes,spec,medium,Battery critical insight
backend/src/modules/business-insights/detectors/tire-critical.detector.ts,TireCriticalDetector,detector,yes,yes,postgres,orgId_required,yes,spec,medium,Tire critical insight
