pr,classification,reason,evidence,replacement_commit_or_pr,confidence
187,SAFE_TO_CLOSE_PATCH_EQUIVALENT,1/1 non-reachable commits have exact stable patch-id matches,0/1 API-listed commits reachable from current origin/main | 1/1 non-reachable commits have exact stable patch-id matches | origin/main...head paths=17; two-tree paths=5308 | current head/base unchanged from Phase 1: 8c0207b1160646271dc4ad0888f949870266700c / 0a01c2a784c9f8597cce686840d6b341208a8b79,"[""62b2806054349b68b5cb1f7514f932b25fd8023f""]",HIGH
188,SAFE_TO_CLOSE_PATCH_EQUIVALENT,1/1 non-reachable commits have exact stable patch-id matches,0/1 API-listed commits reachable from current origin/main | 1/1 non-reachable commits have exact stable patch-id matches | origin/main...head paths=10; two-tree paths=5308 | current head/base unchanged from Phase 1: 4a2273aeb2e6dfd6abccb3ecf6f038f9bad3d961 / 62b2806054349b68b5cb1f7514f932b25fd8023f,"[""30c9fffc0a1f6a85a6ac9f7ef6f7e285e3efb724""]",HIGH
189,SAFE_TO_CLOSE_PATCH_EQUIVALENT,1/1 non-reachable commits have exact stable patch-id matches,0/1 API-listed commits reachable from current origin/main | 1/1 non-reachable commits have exact stable patch-id matches | origin/main...head paths=3; two-tree paths=5307 | current head/base unchanged from Phase 1: f7d14ff030d6b71b8224f8143cfcdba3a2396b06 / ab52b08063f485f97bfb3ab478acc730f22d7907,"[""ab52b08063f485f97bfb3ab478acc730f22d7907""]",HIGH
250,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4470 | current head/base unchanged from Phase 1: abfb274353e2d838cb1b36ad98fd3bb3b6ae2f81 / edd6fb9f54e9952814d9489a5f99dfcef54a3c9d,"[""abfb274353e2d838cb1b36ad98fd3bb3b6ae2f81""]",HIGH
251,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4465 | current head/base unchanged from Phase 1: a9cfacc9246ebff72d6c268fce02407382d6bfea / abfb274353e2d838cb1b36ad98fd3bb3b6ae2f81,"[""a9cfacc9246ebff72d6c268fce02407382d6bfea""]",HIGH
252,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4464 | current head/base unchanged from Phase 1: 729500c140cbf35f120d3307fcdc8a1f2a1745cf / a9cfacc9246ebff72d6c268fce02407382d6bfea,"[""729500c140cbf35f120d3307fcdc8a1f2a1745cf""]",HIGH
253,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4461 | current head/base unchanged from Phase 1: 8c4aa9360102ef49be8f1d289fcb25fec5dbced2 / 729500c140cbf35f120d3307fcdc8a1f2a1745cf,"[""01c186e134a76777b3e8fe90826eab263143815f"",""8c4aa9360102ef49be8f1d289fcb25fec5dbced2""]",HIGH
254,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4450 | current head/base unchanged from Phase 1: 6f5351d3e4658102f97021cc54633071000cdba6 / 8c4aa9360102ef49be8f1d289fcb25fec5dbced2,"[""6f5351d3e4658102f97021cc54633071000cdba6""]",HIGH
255,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4442 | current head/base unchanged from Phase 1: d5f40c70e72c65d082f63e74a376cedd3017e4dd / 6f5351d3e4658102f97021cc54633071000cdba6,"[""82d86b6191dc24d951be0c1237aabf4dbde86395"",""d5f40c70e72c65d082f63e74a376cedd3017e4dd""]",HIGH
256,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4435 | current head/base unchanged from Phase 1: 1277a454b49c336dafadd38573f9f007d1c7d33a / d5f40c70e72c65d082f63e74a376cedd3017e4dd,"[""1277a454b49c336dafadd38573f9f007d1c7d33a""]",HIGH
257,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4434 | current head/base unchanged from Phase 1: b95adeef7ffe5dcc92b30a51820dcd695af28460 / 1277a454b49c336dafadd38573f9f007d1c7d33a,"[""b95adeef7ffe5dcc92b30a51820dcd695af28460""]",HIGH
