domain,file,classOrFunction,responsibility,input,output,organizationScoped,writesData,transactionBoundary,sessionImpact,auditImpact,idempotencyMechanism,consumers,testCoverage,preliminaryRisk
schema,backend/prisma/schema.prisma,model User,Global identity store (email passwordHash platformRole status mustChangePassword lastLogin*),n/a,User row,no,n/a,n/a,passwordHash global; RefreshToken cascade on hard delete,n/a,unique email,all IAM modules,n/a,P0 — org admin can mutate global passwordHash (H1); no MFA/anonymize fields (H9 H11)
schema,backend/prisma/schema.prisma,model RefreshToken,Opaque refresh session store with family rotation,userId tokenHash family expiresAt revokedAt replacedBy ua ip,row,no (user-only FK),n/a,n/a,session SoT,n/a,tokenHash unique,RefreshTokenService AccountService,n/a,P0 — not bound to organizationId/membershipId (H5)
schema,backend/prisma/schema.prisma,model OrganizationMembership,Tenant membership with copied role/permissions/station scope,userId orgId role organizationRoleId permissions stationScope stationIds fieldAgentAccess status,row,yes,n/a,n/a,status gates OrgScoping/Permissions,n/a,unique (userId organizationId),Users OrganizationRole OrganizationInvite StationAccess,n/a,P0 — snapshot permissions create parallel truth vs OrganizationRole (H3 H10)
schema,backend/prisma/schema.prisma,model OrganizationRole,Per-org role templates (defaults only at assign/invite time),orgId name systemKey membershipRole permissions station defaults,row,yes,n/a,n/a,none until assignRoleToUser,n/a,unique (orgId systemKey),OrganizationRoleService invites,n/a,P1 — updateRole does not cascade to memberships (H3)
schema,backend/prisma/schema.prisma,model OrganizationUserInvite,Invite lifecycle with hashed token + lookup,email role permissions scope tokenHash tokenLookup status expiresAt,row,yes,n/a,n/a,accept creates/reactivates membership,n/a,tokenLookup unique,OrganizationInviteService,n/a,P0 — plaintext token returned to API/FE (H6)
schema,backend/prisma/schema.prisma,model ActivityLog,Canonical audit store including AUTH_EVENT and IAM metaJson.auditAction,actor org action entity metaJson ip ua,row,optional org,n/a,n/a,n/a,audit SoT,n/a,AuditService UserAccessAuditService,n/a,P1 — fire-and-forget; prod has 0 auditAction rows (H8)
auth,backend/src/modules/auth/auth.controller.ts,AuthController.login,Email/password login; pick first ACTIVE membership; issue tokens; stamp lastLogin*,LoginDto IP UA,access+refresh+user.permissions+mustChangePassword,partial (embeds first membership org),yes lastLogin + refresh,none,creates refresh family + JWT,LOGIN / AUTH_FAIL via AuditService,none,frontend LoginPage api.auth.login,none dedicated,P0 — take:1 without orderBy → non-deterministic multi-org (H4)
auth,backend/src/modules/auth/auth.controller.ts,AuthController.refresh,Rotate refresh → new access+refresh,RefreshTokenDto,tokens,no (org re-derived),yes,none,rotation / family revoke on reuse,REFRESH (weak actor),rotation replacedBy,API clients; SPA unused,none,P0 — newest membership orderBy createdAt desc ≠ login path (H4 H5)
auth,backend/src/modules/auth/auth.controller.ts,AuthController.logout,Revoke one refresh token (public),optional refreshToken,{message},no,yes,none,single session revoke,LOGOUT,updateMany revokedAt null,intended clients; SPA may skip,none,P2 — SPA clears localStorage only
auth,backend/src/modules/auth/auth.controller.ts,AuthController.logoutAll,Revoke all refresh for JWT user,Bearer JWT,{message},no,yes,none,all sessions revoked,REVOKE_ALL WARN,updateMany,authenticated clients,none,P2 — rarely used from UI
auth,backend/src/modules/auth/auth.controller.ts,AuthController.me,Profile from JWT user + first ACTIVE membership,JWT,user+org+permissions,partial,no,none,none,none,n/a,API clients,none,P1 — same unordered take:1 (H4)
auth,backend/src/modules/auth/auth.controller.ts,AuthController.seedAdmin,Bootstrap MASTER_ADMIN when ENABLE_SEED_ADMIN,x-seed-token header,email,no,yes,none,none,none,exists→noop,ops,none,P0 — ENABLE_SEED_ADMIN=true in production runtime
auth,backend/src/modules/auth/refresh-token.service.ts,RefreshTokenService.issueTokenPair,Create JWT access + new refresh family,user+membership+ctx,tokens,org claims in JWT only,yes,none,new session,none,new family UUID,AuthController.login,none,P0 — refresh row user-only (H5)
auth,backend/src/modules/auth/refresh-token.service.ts,RefreshTokenService.rotate,Validate/rotate refresh; reuse detection revokes family,rawToken+ctx,new tokens,rebinds JWT to newest ACTIVE membership,yes,none (not atomic create+revoke),rotation/family revoke,logger warn on reuse,family+replacedBy,AuthController.refresh,none,P0 — H4 H5; race window create-then-mark-old
auth,backend/src/modules/auth/refresh-token.service.ts,RefreshTokenService.revokeAllForUser,Revoke all refresh sessions for user,userId,void,no,yes,none,all sessions dead,none (caller audits),updateMany,AuthController.logoutAll; NOT called from admin password/suspend/remove,account mocks,P0 — missing wiring on admin password/suspend/role-remove (H2)
auth,backend/src/modules/auth/refresh-token.service.ts,RefreshTokenService.signAccessToken,Sign JWT claims without module permissions,user+membership,JWT string,org claims only,no,n/a,defines access claims,none,n/a,issue/rotate,none,P1 — permissions not in JWT; RolesGuard trusts stale membershipRole
auth_guard,backend/src/shared/auth/auth.guard.ts,AuthGuard,Global Bearer JWT verify; public path allowlist,req,request.user,stamps JWT organizationId,no,n/a,gates /api/*,none,n/a,global APP_GUARD,none dedicated,P1 — no live User.status/membership check; access survives until JWT expiry after suspend
